BARRIER ISLAND,COUNTY,LATITUDE,LONGITUDE,2003 NO COTE PRS,2008 NO COTE PRS,2013 NO COTE PRS,2018 NO COTE PRS
Metompkin Island,Accomack,37.75260,-75.54850,21,16,37,23
Cedar Island,Accomack,37.629924,-75.605478,215,50,79,268
Cobb Island,Northampton,37.277932,-75.797236,0,106,0,13
Wreck Island,Northampton,37.27042,-75.79776,332,56,21,0
Ship Shoal,Northampton,37.216900,-75.809100,0,1,150,0
Dawson's Shoal,Accomack,37.582600,-75.603700,0,0,0,104
Smith Island,Northampton,37.176848,-75.833410,0,0,0,205
