"","event_no","duration","date_start","date_peak","intensity_max","intensity_cumulative"
"1",1,6,1982-01-01,1982-01-01,1.4541,8.449
"2",2,30,1982-01-29,1982-02-24,1.7166,42.7913
"3",3,8,1982-03-24,1982-03-26,1.7682,13.0274
"4",4,8,1982-05-02,1982-05-06,2.0864,13.1965
"5",5,10,1982-05-21,1982-05-25,2.6602,20.5659
"6",6,165,1982-10-31,1982-11-04,2.4858,297.0567
"7",7,17,1983-04-23,1983-05-06,2.5164,29.9579
"8",8,8,1983-06-18,1983-06-20,3,20.7463
"9",9,16,1983-10-01,1983-10-04,2.0805,23.236
"10",10,27,1983-11-04,1983-11-11,2.4169,37.1667
"11",11,5,1983-12-06,1983-12-07,1.329,6.4401
"12",12,11,1983-12-14,1983-12-16,1.7724,17.1172
"13",13,53,1984-01-26,1984-02-27,2.6271,82.0928
"14",14,15,1984-03-24,1984-03-31,1.8563,23.6423
"15",15,7,1984-08-13,1984-08-15,2.5007,13.7516
"16",16,81,1984-10-26,1984-12-21,2.5387,141.0099
"17",17,72,1985-01-28,1985-03-29,1.9672,102.9994
"18",18,10,1985-11-18,1985-11-21,1.377,12.0862
"19",19,5,1986-04-27,1986-04-28,2.6101,10.1451
"20",20,6,1986-05-17,1986-05-18,2.0628,10.9603
"21",21,8,1989-06-02,1989-06-02,1.8624,13.5542
"22",22,6,1989-09-09,1989-09-11,2.0155,10.3683
"23",23,15,1990-08-05,1990-08-13,2.207,28.5465
"24",24,8,1990-08-27,1990-09-01,2.374,15.4555
"25",25,7,1990-10-12,1990-10-15,1.8817,10.9462
"26",26,11,1991-05-25,1991-05-29,2.889,26.909
"27",27,19,1994-07-17,1994-08-02,2.2355,30.7298
"28",28,6,1999-05-08,1999-05-09,1.9012,9.5339
"29",29,7,1999-06-24,1999-06-26,1.8918,11.8801
"30",30,7,1999-07-26,1999-07-31,2.0159,12.692
"31",31,14,1999-09-03,1999-09-14,2.5051,29.6985
"32",32,38,2006-12-24,2007-01-24,1.7614,49.9038
"33",33,5,2008-07-16,2008-07-20,1.6273,7.5532
"34",34,5,2008-07-30,2008-07-31,1.8659,8.4527
"35",35,10,2009-08-16,2009-08-19,2.4136,20.2703
"36",36,13,2010-05-24,2010-05-26,2.6529,23.3676
"37",37,35,2010-06-20,2010-07-07,3.8714,76.5861
"38",38,11,2011-09-24,2011-09-27,2.3817,19.6074
"39",39,10,2012-03-18,2012-03-23,2.8916,21.59
"40",40,12,2012-04-16,2012-04-21,2.1554,20.3456
"41",41,15,2012-05-19,2012-05-20,3.4552,41.7863
"42",42,7,2012-06-20,2012-06-22,3.0118,16.6806
"43",43,24,2012-06-30,2012-07-15,3.1572,54.8279
"44",44,24,2012-08-08,2012-08-27,2.9636,50.489
"45",45,5,2012-10-05,2012-10-06,1.5274,6.9584
"46",46,13,2012-12-13,2012-12-15,1.5126,16.821
"47",47,5,2013-04-28,2013-04-30,2.294,9.4787
"48",48,5,2013-05-07,2013-05-09,1.9912,8.9052
"49",49,10,2013-07-15,2013-07-16,3.0426,23.073
"50",50,5,2014-09-02,2014-09-05,1.9574,9.144
"51",51,5,2014-10-16,2014-10-18,1.553,7.1107
"52",52,7,2015-08-16,2015-08-18,2.1012,12.6999
"53",53,9,2015-08-26,2015-08-30,2.4634,20.3016
"54",54,5,2015-09-07,2015-09-08,2.0469,8.9284
"55",55,5,2015-09-17,2015-09-18,2.1125,8.7903
"56",56,13,2016-07-25,2016-07-30,2.2668,26.2118
"57",57,5,2016-08-13,2016-08-15,2.0707,9.0368
"58",58,19,2016-09-06,2016-09-22,2.906,36.2846
"59",59,11,2017-10-19,2017-10-23,1.7046,15.5754
"60",60,15,2018-07-29,2018-08-07,2.6422,28.6488
"61",61,13,2018-08-28,2018-08-29,2.9773,27.4568
"62",62,6,2018-09-14,2018-09-17,2.0385,10.8751
"63",63,13,2020-06-21,2020-06-27,2.367,25.3009
"64",64,14,2020-07-22,2020-08-02,2.4655,27.8945
"65",65,8,2020-08-10,2020-08-15,2.4007,15.3943
"66",66,7,2021-05-17,2021-05-22,1.973,12.7606
"67",67,5,2021-06-07,2021-06-10,2.0865,9.2713
"68",68,5,2021-06-18,2021-06-21,1.881,8.3803
"69",69,7,2021-09-23,2021-09-26,1.8736,11.705
"70",70,14,2021-10-06,2021-10-15,2.0617,22.1928
"71",71,6,2022-08-04,2022-08-07,2.3822,12.1869
"72",72,8,2022-08-25,2022-08-26,1.8261,13.3923
"73",73,6,2022-09-09,2022-09-12,1.8207,9.9083
"74",74,15,2022-10-31,2022-11-07,1.898,21.1802
