COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
NA,912,97707,NA,CALOCARIS TEMPLEMANI,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,NA
ACADEMY EEL,397,161534,NA,APTERICHTUS ANSP,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
ACADIAN REDFISH,155,166774,240,SEBASTES FASCIATUS,NEFMC,Macrozoo-piscivore,Benthivore Scorpaeniformes,Redfish,Piscivore,M,26,Shrimp/Small Fish Eaters,Groundfish
AESOP SHRIMP,297,96971,NA,PANDALUS MONTAGUI,NA,Other,NA,OtherShrimps,Other,NA,NA,NA,NA
AFRICAN POMPANO,568,168602,526,ALECTIS CILIARIS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
ALBACORE,703,172419,470,THUNNUS ALALUNGA,NA,Other,NA,LargePelagics,Other,NA,NA,NA,NA
ALEWIFE,33,161706,1,ALOSA PSEUDOHARENGUS,NA,Mesoplanktivore,NA,RiverHerring,Planktivore,M,21,Planktivores,Forage Fish
ALLIGATORFISH,165,167439,NA,ASPIDOPHOROIDES MONOPTERYGIUS,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,NA
ALMACO JACK,578,168691,526,SERIOLA RIVOLIANA,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
AMBERJACK,NA,168688,3,SERIOLA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
AMERICAN EEL,384,161127,115,ANGUILLA ROSTRATA,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
AMERICAN LOBSTER,301,97314,727,HOMARUS AMERICANUS,NA,Benthivore,NA,AmLobster,Benthivore,NA,NA,NA,BenthicInvert
AMERICAN PLAICE,102,172877,124,HIPPOGLOSSOIDES PLATESSOIDES,NEFMC,Benthivore,Benthivore Pleuronectiformes,AmPlaice,Benthivore,S,10,Benthivores,Groundfish
AMERICAN PLAICE,102,172877,124,HIPPOGLOSSOIDES PLATESSOIDES,NEFMC,Benthivore,Benthivore Pleuronectiformes,AmPlaice,Benthivore,M,21,Benthivores,Groundfish
AMERICAN PLAICE,102,172877,124,HIPPOGLOSSOIDES PLATESSOIDES,NEFMC,Benthivore,Benthivore Pleuronectiformes,AmPlaice,Benthivore,L,41,Benthivores,Groundfish
AMERICAN SAND LANCE,734,171673,206,AMMODYTES AMERICANUS,NA,Other,Southern Perciformes,OtherDemersals,Other,NA,NA,NA,NA
AMERICAN SHAD,35,161702,347,ALOSA SAPIDISSIMA,NA,Mesoplanktivore,NA,AmShad,Planktivore,NA,NA,NA,Forage Fish
ANCHOR TILEFISH,623,168542,NA,CAULOLATILUS INTERMEDIUS,NA,Other,Southern Perciformes,Tilefish,Other,NA,NA,NA,NA
ANCHOVY UNCL,851,553173,686,ENGRAULIDAE,NA,Other,Southern Others,SmPelagics,Other,NA,NA,NA,Forage Fish
ANGLEFIN WHIFF,882,172723,NA,CITHARICHTHYS GYMNORHINUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
ARCTIC EELPOUT,189,165280,NA,LYCODES RETICULATUS,NA,Other,Benthivore Perciformes,OtherDemersals,Other,NA,NA,NA,NA
ARCTIC EUALID,291,96805,NA,EUALUS FABRICII,NA,Other,NA,OtherShrimps,Other,NA,NA,NA,NA
ARCTIC SURFCLAM,407,80983,765,MACTROMERIS POLYNYMA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
ARCTIC SURFCLAM CLAPPER,408,NA,NA,MACTROMERIS POLYNYMA CLAPPER,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
ARMORED SEAROBIN,173,167010,343,PERISTEDION MINIATUM,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,Other
ARROW SQUID,505,82373,NA,LOLIGO PLEI,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
ATLANTIC ANGEL SHARK,16,160787,477,SQUATINA DUMERIL,NA,Other,Piscivore Elasmobranchs,Sharks,Other,NA,NA,NA,Sharks/Rays
ATLANTIC ARGENTINE,46,162064,NA,ARGENTINA SILUS,NA,Other,NA,SmPelagics,Other,NA,NA,NA,NA
ATLANTIC BATFISH,199,164589,NA,DIBRANCHUS ATLANTICUS,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,NA
ATLANTIC BONITO,123,172409,33,SARDA SARDA,NA,Other,NA,LargePelagics,Other,NA,NA,NA,NA
ATLANTIC BRIEF SQUID,504,82379,NA,LOLLIGUNCULA BREVIS,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
