COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
BLUNTHEAD PUFFER,880,173298,NA,SPHOEROIDES PACHYGASTER,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BLUNTNOSE FLYINGFISH,470,165524,NA,PROGNICHTHYS GIBBIFRONS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BLUNTNOSE JACK,575,168740,NA,HEMICARANX AMBLYRHYNCHUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BLUNTNOSE SMOOTHHEAD,243,162340,NA,XENODERMICHTHYS COPEI,NA,Other,Benthivore Others,Mesopelagics,Other,NA,NA,NA,NA
BLUNTNOSE STINGRAY,18,160954,NA,DASYATIS SAY,NA,Other,Benthivore Elasmobranchs,Rays,Other,NA,NA,NA,NA
BOA DRAGONFISH,228,162292,NA,STOMIAS BOA,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
BOARFISH UNCL,422,166309,526,CAPROIDAE,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
BOBTAIL UNCL,506,82335,NA,SEPIOLIDAE,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
BONEFISH,383,161121,NA,ALBULA VULPES,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BONNETHEAD SHARK,364,160502,476,SPHYRNA TIBURO,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
BOREAL ASTERIAS,333,157219,NA,ASTERIAS VULGARIS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,NA
BOX CRAB UNCL,339,98340,NA,CALAPPIDAE,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
BRIDLE CARDINALFISH,888,168201,NA,APOGON AUROLINEATUS,NA,Other,Southern Perciformes,Mesopelagics,Other,NA,NA,NA,NA
BRISTLED LONGBEAK,296,97000,NA,DICHELOPANDALUS LEPTOCERUS,NA,Other,NA,OtherShrimps,Other,NA,NA,NA,NA
BROAD FLOUNDER,790,172740,NA,PARALICHTHYS SQUAMILENTUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
BROADBAND DOGFISH,601,160669,NA,ETMOPTERUS GRACILISPINIS,NA,Other,Southern Elasmobranchs,OtherDemersals,Other,NA,NA,NA,NA
BROWN DRIFTFISH,891,172538,NA,ARIOMMA MELANUM,NA,Other,Southern Perciformes,Mesopelagics,Other,NA,NA,NA,NA
BROWN ROCK SHRIMP,316,96028,NA,SICYONIA BREVIROSTRIS,NA,Other,NA,OtherShrimps,Other,NA,NA,NA,NA
BROWN SHRIMP,913,95605,NA,PENAEUS AZTECUS,NA,Other,NA,OtherShrimps,Other,NA,NA,NA,NA
BROWN TROUT,432,161997,NA,SALMO TRUTTA,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
BUCKTOOTH PARROTFISH,687,170865,NA,SPARISOMA RADIANS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BULL PIPEFISH,496,166455,NA,SYNGNATHUS SPRINGERI,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BULL SHARK,356,160275,489,CARCHARHINUS LEUCAS,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
BULLET MACKEREL,701,172455,131,AUXIS ROCHEI,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BULLEYE,616,168195,NA,COOKEOLUS JAPONICUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BULLHEADS,NA,163996,45,ICTALURUS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
BULLNOSE RAY,19,160980,NA,MYLIOBATIS FREMINVILLEI,NA,Other,Benthivore Elasmobranchs,Rays,Other,NA,NA,NA,NA
BUTTERFISH,131,172567,51,PEPRILUS TRIACANTHUS,MAFMC,Mesoplanktivore,NA,Butterfish,Planktivore,S,10,Planktivores,Forage Fish
BUTTERFISH UNCL,750,172563,NA,STROMATEIDAE,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
"BUTTERFISH,GULF",NA,172568,52,PEPRILUS BURTI,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BUTTERFLYFISH UNCL,855,169554,526,CHAETODONTIDAE,NA,Other,Southern Perciformes,Freshwater,Other,NA,NA,NA,NA
CAESAR GRUNT,628,169063,NA,HAEMULON CARBONARIUM,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
CALICO BOX CRAB,327,98348,NA,HEPATUS EPHELITICUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
CALICO CRAB UNCL,315,98710,NA,OVALIPES,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
CANCER CRAB UNCL,311,98670,714,CANCRIDAE,NA,Macrozoo-piscivore,NA,Megabenthos,Benthivore,NA,NA,NA,BenthicInvert
CAPELIN,38,162035,361,MALLOTUS VILLOSUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
CARDINAL SOLDIERFISH,484,166245,NA,PLECTRYPOPS RETROSPINIS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
CARDINALFISH UNCL,138,168196,NA,APOGONIDAE,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
CARIBBEAN LANTERNSHARK,602,160657,NA,ETMOPTERUS HILLIANUS,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
CARIBBEAN SPINY LOBSTER,304,97648,728,PANULIRUS ARGUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
CAROLINA HAKE,454,164736,NA,UROPHYCIS EARLLII,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
CARP,NA,163344,63,CYPRINUS CARPIO,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
"CATFISH,BLUE",NA,163997,67,ICTALURUS FURCATUS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
"CATFISH,CHANNEL",NA,163998,68,ICTALURUS PUNCTATUS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
"CATFISH,FLATHEAD",NA,164029,64,PYLODICTIS OLIVARIS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
"CATFISH,WHITE",NA,164037,65,ICTALURIDAE,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
CATFISHES (FRESHWATER),NA,163995,66,ICTALURIDAE,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
CATFISHES (SEA),NA,163992,69,ARIIDAE,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
CERO,746,172437,NA,SCOMBEROMORUS REGALIS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
CHAIN DOGFISH,14,160060,346,SCYLIORHINUS RETIFER,NA,Benthivore,Piscivore Elasmobranchs,Sharks,Benthivore,NA,NA,NA,Elasmobranchs
CHAIN PIPEFISH,495,166452,NA,SYNGNATHUS LOUISIANAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
CHANNEL FLOUNDER,792,172792,NA,SYACIUM MICRURUM,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
CHANNELED WHELK,336,74096,776,BUSYCOTYPUS CANALICULATUS,NA,Benthos,NA,Macrobenthos,Benthos,NA,NA,NA,BenthicInvert
CHECKERED PUFFER,846,173291,NA,SPHOEROIDES TESTUDINEUS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
CHUB MACKEREL,124,172412,215,SCOMBER JAPONICUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,Forage Fish
"CLAM,BLOOD ARC",NA,79342,743,ANADARA OVALIS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
"CLAM,RAZOR,ATLANTIC",NA,81022,760,ENSIS DIRECTUS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
"CLAM,SOFT",NA,81692,763,MYA ARENARIA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
"CLAM,STOUT TAGELUS (BAMBOO)",NA,81272,761,TAGELUS PLEBEIUS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
"CLAMS,HARD",NA,81495,748,MERCENARIA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
CLEARNOSE SKATE,24,160855,372,RAJA EGLANTERIA,NEFMC,Macrozoo-piscivore,Benthivore Elasmobranchs,OtherSkates,Piscivore,NA,NA,NA,Elasmobranchs
CLINID UNCL,727,171396,NA,CLINIDAE,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
COARSEHAND LADY CRAB,321,98715,NA,OVALIPES STEPHENSONI,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
COBIA,563,168566,57,RACHYCENTRON CANADUM,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
COCOA DAMSELFISH,854,170186,NA,POMACENTRUS VARIABILIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
CODLINGS,87,164729,155,UROPHYCIS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
COMBTOOTH BLENNY UNCL,733,171124,NA,BLENNIIDAE,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
COMMON OCTOPUS,511,82603,NA,OCTOPUS VULGARIS,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
COMMON SNOOK,497,167648,NA,CENTROPOMUS UNDECIMALIS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
CONEJO,127,172374,NA,PROMETHICHTHYS PROMETHEUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
CONGER EEL,63,161326,116,CONGER OCEANICUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
CONGER EEL UNCL,390,161324,NA,CONGRIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
"CORALS,SOFT,NK",NA,52016,688,ALCYONACEA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
CORNETFISH UNCL,490,166415,NA,FISTULARIA,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
COTTONMOUTH JACK,898,168746,NA,URASPIS SECUNDA,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
COWNOSE RAY,270,160985,285,RHINOPTERA BONASUS,NA,Other,Benthivore Elasmobranchs,Rays,Other,NA,NA,NA,Sharks/Rays
"CRAB,HERMIT",NA,97775,702,PAGURUS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
"CRAB,JAPANESE SHORE",NA,99034,716,HEMIGRAPSUS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
"CRAB,RED DEEPSEA",310,620992,710,CHACEON QUINQUEDENS,NEFMC,Benthivore,NA,RedCrab,Benthivore,NA,NA,NA,BenthicInvert
"CRAB,UNC",NA,98276,713,BRACHYURA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
CRAPPIE,NA,168165,84,POMOXIS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
CREOLE WRASSE,674,170496,NA,CLEPTICUS PARRAE,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
CREOLE-FISH,545,167838,141,PARANTHIAS FURCIFER,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
CRESTED BLENNY,730,171198,NA,HYPLEUROCHILUS GEMINATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
CRESTED CUSK-EEL,460,164844,NA,OPHIDION WELSHI,NA,Other,Benthivore Gadiformes,OtherDemersals,Other,NA,NA,NA,NA
CREVALLE JACK,570,168609,87,CARANX HIPPOS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
CRIMSON BASS,499,167770,NA,ANTHIAS ASPERILINGUIS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
"CRUSTACEANS,UNC",NA,83677,834,CRUSTACEA,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
CUBAN ANCHOVY,889,161840,NA,ANCHOA CUBANA,NA,Other,NA,SmPelagics,Other,NA,NA,NA,NA
CUBBYU,650,169318,NA,EQUETUS UMBROSUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
CUNNER,176,170481,93,TAUTOGOLABRUS ADSPERSUS,NA,Benthivore,Benthivore Perciformes,OtherDemersals,Benthivore,NA,NA,NA,Other
CUSK,84,164740,96,BROSME BROSME,NA,Macrozoo-piscivore,Benthivore Gadiformes,OtherDemersals,Planktivore,NA,NA,NA,Other
CUSK-EEL UNCL,461,164807,253,OPHIDIIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
DAMSELFISH UNCL,619,170044,NA,POMACENTRIDAE,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
DAUBED SHANNY,183,171584,NA,LUMPENUS MACULATUS,NA,Other,Benthivore Perciformes,OtherDemersals,Other,NA,NA,NA,NA
DEEPBODY BOARFISH,158,166311,NA,ANTIGONIA CAPROS,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,NA
DEEPWATER DAB,98,172938,NA,POECILOPSETTA BEANI,NA,Other,Benthivore Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
DEEPWATER FLOUNDER,110,172789,NA,MONOLENE SESSILICAUDA,NA,Other,Benthivore Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
DEEPWATER SQUIRRELFISH,479,622109,NA,SARGOCENTRON BULLISI,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
DOCTORFISH,741,172253,NA,ACANTHURUS CHIRURGUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
DOG SNAPPER,591,168857,375,LUTJANUS JOCU,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
"DOGFISH,UNC",600,160604,350,SQUALIDAE,NA,Other,Southern Elasmobranchs,OtherDemersals,Other,NA,NA,NA,NA
DOLPHIN,584,168791,105,CORYPHAENA HIPPURUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
DOLPHINFISH,NA,168790,105,CORYPHAENA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
"DORY,NK",NA,166271,189,ZEIFORMES,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
DOTTEREL FILEFISH,830,173132,NA,ALUTERUS HEUDELOTI,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
DRUM UNCL,858,169237,104,SCIAENIDAE,NA,Other,Southern Perciformes,Freshwater,Other,NA,NA,NA,NA
"DRUM,FRESHWATER",NA,169364,104,APLODINOTUS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
DUCK-BILL SHELL UNCL,405,81962,NA,THRACIA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
DULSE,NA,12842,831,PALMARIA PALMATA,NA,Other,NA,Fauna,Other,NA,NA,NA,NA
DUSKY ANCHOVY,859,161842,NA,ANCHOA LYOLEPIS,NA,Other,Southern Others,SmPelagics,Other,NA,NA,NA,NA
DUSKY FLOUNDER,793,172793,NA,SYACIUM PAPILLOSUM,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
DUSKY PIPEFISH,494,166446,NA,SYNGNATHUS FLORIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
DUSKY SHARK,3,160268,484,CARCHARHINUS OBSCURUS,NA,Other,Piscivore Elasmobranchs,Sharks,Other,NA,NA,NA,Sharks/Rays
DUSKY SQUIRRELFISH,481,622110,NA,SARGOCENTRON VEXILLARIUM,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
DWARF GOATFISH,657,169441,NA,UPENEUS PARVUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
DWARF HERRING,427,161759,NA,JENKINSIA LAMPROTAENIA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
DWARF SAND PERCH,529,167796,NA,DIPLECTRUM BIVITTATUM,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
EEL UNCL,60,161123,117,ANGUILLIFORMES,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
"EEL,CUTTHROAT",NA,635305,118,SYNAPHOBRANCHINAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
EELPOUT UNCL,267,165215,NA,ZOARCIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
EMERALD PARROTFISH,685,170860,NA,NICHOLSINA USTA,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
ESCOLAR,824,172362,385,LEPIDOCYBIUM FLAVOBRUNNEUM,NA,Other,Southern Perciformes,Mesopelagics,Other,NA,NA,NA,NA
ETROPUS UNCL,794,172728,NA,ETROPUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
EYED FLOUNDER,777,172761,NA,BOTHUS OCELLATUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
FALSE IRISH MOSS,NA,12104,830,GIGARTINA STELLATA,NA,Other,NA,Fauna,Other,NA,NA,NA,NA
FALSE QUAHOG,415,81501,764,PITAR MORRHUANUS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
FANTAIL MULLET,692,170351,NA,MUGIL GYRANS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FAT SLEEPER,736,171919,NA,DORMITATOR MACULATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FAWN CUSK-EEL,194,164831,NA,LEPOPHIDIUM PROFUNDORUM,NA,Other,Benthivore Gadiformes,OtherDemersals,Other,L,61,Amphipod/Shrimp Eaters,NA
FEATHER BLENNY,731,171156,NA,HYPSOBLENNIUS HENTZ,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FINETOOTH SHARK,928,160409,499,CARCHARHINUS ISODON,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
FINGERED KELP,NA,11228,820,LAMINARIA DIGITATA,NA,Other,NA,Fauna,Other,NA,NA,NA,NA
FINLESS EEL,398,161536,NA,APTERICHTUS KENDALLI,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
"FISH,OTHER",NA,161030,526,OSTEICHTHYES,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
"FISH,OTHER-INDUSTRIAL",NA,161030,529,OSTEICHTHYES,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
FLAME BOX CRAB,328,98342,NA,CALAPPA FLAMMEA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
FLAMEFISH,558,168204,NA,APOGON MACULATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FLAT ANCHOVY,430,161857,NA,ANCHOVIELLA PERFASCIATA,NA,Other,NA,SmPelagics,Other,NA,NA,NA,NA
FLAT NEEDLEFISH,68,165548,NA,ABLENNES HIANS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
FLORIDA POMPANO,579,168708,272,TRACHINOTUS CAROLINUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
FLORIDA SMOOTHHOUND,935,160234,NA,MUSTELUS NORRISI,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
FLOUNDER UNCL,100,172702,126,PLEURONECTIFORMES,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
FLYING GURNARD,175,167624,NA,DACTYLOPTERUS VOLITANS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
FLYING HALFBEAK,466,165503,NA,EULEPTORHAMPHUS VELOX,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
FOURBEARD ROCKLING,83,164748,526,ENCHELYOPUS CIMBRIUS,NA,Other,Benthivore Gadiformes,Freshwater,Other,NA,NA,NA,Other
FOUREYE BUTTERFLYFISH,661,169558,NA,CHAETODON CAPISTRATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FOURHORN SCULPIN,772,167316,NA,MYOXOCEPHALUS QUADRICORNIS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
FOURSPINE STICKLEBACK,488,166397,NA,APELTES QUADRACUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
FOURSPOT FLOUNDER,104,172739,127,PARALICHTHYS OBLONGUS,NA,Piscivore,Benthivore Pleuronectiformes,Fourspot,Piscivore,S,10,Amphipod/Shrimp Eaters,Groundfish
FOURSPOT FLOUNDER,104,172739,127,PARALICHTHYS OBLONGUS,NA,Piscivore,Benthivore Pleuronectiformes,Fourspot,Piscivore,M,21,Piscivores,Groundfish
FOURWING FLYINGFISH,469,165516,NA,HIRUNDICHTHYS AFFINIS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
FRECKLED BLENNY,732,171157,NA,HYPSOBLENNIUS IONTHAS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FRECKLED SOAPFISH,555,167985,NA,RYPTICUS BISTRISPINUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FRECKLED STARGAZER,725,630400,NA,XENOCEPHALUS EGREGIUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FRIENDLY BLADE SHRIMP,295,96765,NA,SPIRONTOCARIS LILJEBORGII,NA,Other,NA,OtherShrimps,Other,NA,NA,NA,NA
FRIGATE MACKEREL,702,172456,132,AUXIS THAZARD,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
FRILLFIN GOBY,737,171820,NA,BATHYGOBIUS SOPORATOR,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
FRINGED FILEFISH,836,173179,NA,MONACANTHUS CILIATUS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
FRINGED FLOUNDER,785,172729,NA,ETROPUS CROSSOTUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
GAFFTOPSAIL CATFISH,442,164159,NA,BAGRE MARINUS,NA,Other,Benthivore Others,Freshwater,Other,NA,NA,NA,NA
GAG,541,167759,141,MYCTEROPERCA MICROLEPIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GALATHEID UNCL,319,97964,NA,GALATHEIDAE,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,NA
GARFISHES,NA,161092,133,LEPISOSTEIDAE,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
GIZZARD SHAD,426,161737,134,DOROSOMA CEPEDIANUM,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
GLACIER LANTERNFISH,51,162680,NA,BENTHOSEMA GLACIALE,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
GLADIATOR BOX CRAB,604,98355,NA,ACANTHOCARPUS ALEXANDRI,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
GLASSEYE SNAPPER,556,168179,NA,PRIACANTHUS CRUENTATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GOBY FLATHEAD,698,170998,NA,BEMBROPS GOBIOIDES,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GOBY UNCL,739,171746,NA,GOBIIDAE,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GOLDEN DEEPSEA CRAB,308,98909,NA,GERYON FENNERI,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
GOLDFACE TILEFISH,622,168544,443,CAULOLATILUS CHRYSOPS,NA,Other,Southern Perciformes,Tilefish,Other,NA,NA,NA,NA
GOOSEFISH,197,164499,11,LOPHIUS AMERICANUS,JOINT,Piscivore,Piscivore Others,Goosefish,Piscivore,L,61,Piscivores,Groundfish
GOOSEFISH,197,164499,12,LOPHIUS AMERICANUS,JOINT,Piscivore,Piscivore Others,Goosefish,Piscivore,L,61,Piscivores,Groundfish
GRAY ANGELFISH,668,169632,NA,POMACANTHUS ARCUATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GRAY FLOUNDER,786,172732,NA,ETROPUS RIMOSUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
GRAY SNAPPER,590,168848,336,LUTJANUS GRISEUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GRAY TRIGGERFISH,202,173138,456,BALISTES CAPRISCUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
GREAT BARRACUDA,693,170429,NA,SPHYRAENA BARRACUDA,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
GREAT HAMMERHEAD SHARK,363,160515,386,SPHYRNA MOKARRAN,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
GREATER AMBERJACK,203,168689,181,SERIOLA DUMERILI,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
GREEN CRAB,326,98734,708,CARCINUS MAENAS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
GREEN SEATURTLE,951,173833,809,CHELONIA MYDAS,NA,Other,NA,Turtles,Other,NA,NA,NA,NA
GREENBAND WRASSE,676,170502,NA,HALICHOERES BATHYPHILUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GREENEYE UNCL,47,162427,139,CHLOROPHTHALMIDAE,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
GREENLAND COCKLE,418,80879,NA,SERRIPES GROENLANDICUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
GREENLAND HALIBUT,99,172930,158,REINHARDTIUS HIPPOGLOSSOIDES,NA,Other,Piscivore Others,OtherDemersals,Other,NA,NA,NA,Other
GRENADIER UNCL,90,165332,138,MACROURIDAE,NA,Other,Benthivore Gadiformes,Mesopelagics,Other,NA,NA,NA,Other
"GROUPER,CONEY",NA,167740,141,CEPHALOPHOLIS FULVA,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
GRUBBY,166,167321,NA,MYOXOCEPHALUS AENAEUS,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,NA
GRUNT UNCL,630,169055,144,HAEMULIDAE,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
"GRUNT,WHITE",NA,613026,144,HAEMULON PLUMIERI,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
GUAGUANCHE,695,170428,NA,SPHYRAENA GUACHANCHO,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GULF FLOUNDER,788,172736,NA,PARALICHTHYS ALBIGUTTA,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
GULF KINGFISH,653,169275,NA,MENTICIRRHUS LITTORALIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
GULF STREAM FLOUNDER,109,172719,129,CITHARICHTHYS ARCTIFRONS,NA,Other,Benthivore Pleuronectiformes,SmFlatfishes,Other,S,10,Benthivores,Other
HADDOCK,74,164744,147,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,Benthivore Gadiformes,Haddock,Benthivore,S,10,Benthivores,Groundfish
