"","year","cold_pool_index","se_cold_pool_index","persistence_index","se_persistence_index","extent_index","se_extent_index"
"1",1959,-1.0743302,0.031221442,0.53961337,0.022137472,80.828125,1.9582394
"2",1960,-1.1399984,0.033427767,0.42666158,0.02142354,79.828125,1.9582394
"3",1961,-1.0356346,0.024096986,0.45075795,0.022024766,82.828125,1.9582394
"4",1962,-0.3211615,0.023439882,-0.049242042,0.026806151,66.828125,1.9582394
"5",1963,-0.37158525,0.024118094,0.07123989,0.022198986,76.828125,1.9582394
"6",1964,-0.8293417,0.030704604,0.265517,0.028571613,58.828125,1.9582394
"7",1965,-1.914543,0.021207675,0.7700351,0.0135497805,88.828125,1.9582394
"8",1966,-1.4268382,0.032932647,0.62372243,0.019337649,67.828125,1.9582394
"9",1967,-1.0160272,0.023660878,0.61190253,0.015411199,83.828125,1.9582394
"10",1968,-1.4692743,0.023170525,0.66310734,0.015765708,88.828125,1.9582394
"11",1969,-0.8685027,0.031066768,0.17967363,0.022796124,76.828125,1.9582394
"12",1970,-1.0983655,0.03358938,0.5731533,0.026432762,58.828125,1.9582394
"13",1971,-1.2096553,0.027405605,0.5094929,0.018847242,88.828125,1.9582394
"14",1972,-0.10144007,0.025128096,0.09476054,0.025703445,24.828125,1.9582394
"15",1973,-0.052215014,0.024874447,-0.08030949,0.026595151,39.828125,1.9582394
"16",1974,0.984534,0.02114666,-0.67328596,0.029982813,-67.171875,1.9582394
"17",1975,-0.09262867,0.045256983,-0.12002517,0.02966284,22.828125,1.9582394
"18",1976,0.3098136,0.026141921,-0.08396627,0.030829217,18.828125,1.9582394
"19",1977,-0.45006856,0.041711602,0.07726398,0.024840983,62.828125,1.9582394
"20",1978,-0.63561976,0.024222,0.30617964,0.023973143,74.828125,1.9582394
"21",1979,-1.4696203,0.03084643,0.63750494,0.017358117,85.828125,1.9582394
"22",1980,-1.1877354,0.041342232,0.49443266,0.020648638,77.828125,1.9582394
"23",1981,-0.7978216,0.03863552,0.2956375,0.024180567,66.828125,1.9582394
"24",1982,-0.75915045,0.04023847,0.21130013,0.024563,61.828125,1.9582394
"25",1983,0.06146274,0.026488125,-0.22480974,0.02882375,27.828125,1.9582394
"26",1984,-1.335069,0.03711308,0.6103965,0.018545957,84.828125,1.9582394
"27",1985,0.4369044,0.03327144,-0.115180895,0.018843092,30.828125,1.9582394
"28",1986,1.3744471,0.027005639,-0.5721258,0.031456623,-105.171875,1.9582394
"29",1987,-0.6605551,0.046494946,0.07123989,0.026465561,81.828125,1.9582394
"30",1988,-0.69403195,0.027622113,0.25648084,0.020194106,83.828125,1.9582394
"31",1989,-0.23188405,0.03163184,0.18424726,0.01863182,69.828125,1.9582394
"32",1990,0.8327444,0.035107307,-0.26325637,0.02536585,4.828125,1.9582394
"33",1991,0.48067692,0.035444573,-0.084945016,0.023736103,3.828125,1.9582394
"34",1992,0.07524434,0.022442354,-0.020679554,0.020920651,76.828125,1.9582394
"35",1993,-0.55837333,0.023150897,0.3709387,0.027308276,77.828125,1.9582394
"36",1994,-0.08909827,0.038638912,-0.19215378,0.030057613,16.828125,1.9582394
"37",1995,0.4165079,0.027071772,-0.4022575,0.027869385,42.828125,1.9582394
"38",1996,-1.226955,0.029344797,0.69021577,0.01867081,88.828125,1.9582394
"39",1997,0.029297322,0.02650935,0.15151013,0.027687844,41.828125,1.9582394
"40",1998,-0.6459569,0.039452188,0.56973386,0.028358348,72.828125,1.9582394
"41",1999,1.7668287,0.042081825,-1.1401901,0.040626496,-227.17188,1.9582394
"42",2000,1.138386,0.019161182,-0.365074,0.034184378,-63.171875,1.9582394
"43",2001,0.79676056,0.031991728,-0.7036201,0.035100907,-46.171875,1.9582394
"44",2002,0.7035328,0.04567912,0.29309252,0.031616546,-66.171875,1.9582394
"45",2003,-0.18912822,0.022933347,-0.0512978,0.030972272,48.828125,1.9582394
"46",2004,-2.2503762,0.026745418,0.830276,0.014445392,88.828125,1.9582394
"47",2005,-0.18993616,0.03471803,0.101360366,0.037281737,61.828125,1.9582394
"48",2006,1.6537652,0.03191044,-1.2753193,0.04267512,-252.17188,1.9582394
"49",2007,-1.289779,0.026436724,0.7745531,0.019421188,88.828125,1.9582394
"50",2008,0.2089421,0.040343016,0.27577162,0.031700093,15.828125,1.9582394
"51",2009,0.21372016,0.030856872,-0.25078005,0.027434468,54.828125,1.9582394
"52",2010,-0.14176203,0.03467602,0.3037113,0.022269905,77.828125,1.9582394
"53",2011,0.22158532,0.0465313,-0.0053912355,0.04200421,24.828125,1.9582394
"54",2012,2.0117302,0.035596713,-0.9862573,0.048934236,-286.17188,1.9582394
"55",2013,1.2499775,0.03360246,-0.9777793,0.038506355,-124.171875,1.9582394
"56",2014,2.2446783,0.055010326,-1.6847675,0.03568414,-367.17188,1.9582394
"57",2015,2.273379,0.04753985,-1.5175548,0.04101036,-333.17188,1.9582394
"58",2016,1.8121502,0.040153492,-1.0039718,0.040645387,-239.17188,1.9582394
"59",2017,0.07081466,0.029487923,-0.0718324,0.029802505,51.828125,1.9582394
"60",2018,-0.09763615,0.025139663,0.21591018,0.023959583,75.828125,1.9582394
"61",2019,0.9415279,0.04708836,-0.841009,0.028595189,-5.171875,1.9582394
"62",2020,1.9615536,0.06928613,-0.8465359,0.037628245,-126.171875,1.9582394
"63",2021,2.0882802,0.040854517,-0.7853317,0.029359791,-191.17188,1.9582394
"64",2022,2.5628543,0.034758363,-1.3725544,0.061342366,-431.17188,1.9582394
