Species,EPU,sex,YEAR,MeanCond,nCond,n
American Plaice,GOM,M,2007,98.07598458021889,123,27
American Plaice,GOM,M,2008,97.25508611093208,267,27
American Plaice,GOM,M,2009,98.29813862477125,143,27
American Plaice,GOM,M,2010,98.67397116449969,147,27
American Plaice,GOM,M,2011,98.42271924697938,146,27
American Plaice,GOM,M,2012,101.22433222488695,163,27
American Plaice,GOM,M,2013,102.46761142862476,184,27
American Plaice,GOM,M,2014,101.79866422655981,194,27
American Plaice,GOM,M,2015,102.83116116497489,339,27
American Plaice,GOM,M,2016,102.5663400106663,252,27
American Plaice,GOM,M,2017,101.96489940015552,103,27
American Plaice,GOM,M,2018,101.8696755822431,123,27
Atl Cod,GOM,F,1992,99.90367373620838,44,28
Atl Cod,GOM,F,1993,101.34520120620682,55,28
Atl Cod,GOM,F,1994,100.61928891811567,52,28
Atl Cod,GOM,F,1995,100.91677712620621,51,28
Atl Cod,GOM,F,1996,99.14809856579666,64,28
Atl Cod,GOM,F,1997,101.07076238274675,71,28
Atl Cod,GOM,F,1998,99.84649595407076,41,28
Atl Cod,GOM,F,1999,100.7795992862878,126,28
Atl Cod,GOM,F,2000,98.04711313238056,83,28
Atl Cod,GOM,F,2001,98.49125124900648,55,28
Atl Cod,GOM,F,2002,102.30625523840898,70,28
Atl Cod,GOM,F,2003,99.74580841732906,85,28
Atl Cod,GOM,F,2004,99.11051289427658,60,28
Atl Cod,GOM,F,2005,98.54831343655067,65,28
Atl Cod,GOM,F,2006,98.91529582853926,654,28
Atl Cod,GOM,F,2007,99.43839172547031,58,28
Atl Cod,GOM,F,2008,98.55940917705212,184,28
Atl Cod,GOM,F,2009,99.39584295382797,155,28
Atl Cod,GOM,F,2010,99.55884463777717,136,28
Atl Cod,GOM,F,2011,98.80326213477267,163,28
Atl Cod,GOM,F,2012,100.95807487203257,93,28
Atl Cod,GOM,F,2013,98.43419294102102,50,28
Atl Cod,GOM,F,2014,100.71389731556151,61,28
Atl Cod,GOM,F,2015,100.420067397612,125,28
