"source","year","min.depth","max.depth","temp.threshold","longitude","latitude","Ndays"
"GLORYS",1993,25,100,15,-67.5833269787431,41.9166666666667,3
"GLORYS",1993,25,100,15,-67.4999936406992,41.9166666666667,1
"GLORYS",1993,25,100,15,-67.8333269928749,41.8333333333333,4
"GLORYS",1993,25,100,15,-67.7499936548309,41.8333333333333,31
"GLORYS",1993,25,100,15,-67.666660316787,41.8333333333333,36
"GLORYS",1993,25,100,15,-67.5833269787431,41.8333333333333,28
"GLORYS",1993,25,100,15,-67.4999936406992,41.8333333333333,24
"GLORYS",1993,25,100,15,-67.4166603026552,41.8333333333333,3
"GLORYS",1993,25,100,15,-67.3333269646113,41.8333333333333,4
"GLORYS",1993,25,100,15,-68.0833270070067,41.75,7
"GLORYS",1993,25,100,15,-67.9999936689627,41.75,34
"GLORYS",1993,25,100,15,-67.9166603309188,41.75,58
"GLORYS",1993,25,100,15,-67.8333269928749,41.75,59
"GLORYS",1993,25,100,15,-67.7499936548309,41.75,56
"GLORYS",1993,25,100,15,-67.666660316787,41.75,38
"GLORYS",1993,25,100,15,-67.5833269787431,41.75,35
"GLORYS",1993,25,100,15,-67.4999936406992,41.75,27
"GLORYS",1993,25,100,15,-67.4166603026552,41.75,27
"GLORYS",1993,25,100,15,-67.3333269646113,41.75,14
"GLORYS",1993,25,100,15,-68.2499936830945,41.6666666666667,59
"GLORYS",1993,25,100,15,-68.1666603450506,41.6666666666667,61
"GLORYS",1993,25,100,15,-68.0833270070067,41.6666666666667,57
"GLORYS",1993,25,100,15,-67.9999936689627,41.6666666666667,64
"GLORYS",1993,25,100,15,-67.9166603309188,41.6666666666667,65
"GLORYS",1993,25,100,15,-67.8333269928749,41.6666666666667,66
"GLORYS",1993,25,100,15,-67.7499936548309,41.6666666666667,70
"GLORYS",1993,25,100,15,-67.666660316787,41.6666666666667,41
"GLORYS",1993,25,100,15,-67.5833269787431,41.6666666666667,37
"GLORYS",1993,25,100,15,-67.4999936406992,41.6666666666667,27
"GLORYS",1993,25,100,15,-67.4166603026552,41.6666666666667,23
"GLORYS",1993,25,100,15,-67.3333269646113,41.6666666666667,11
"GLORYS",1993,25,100,15,-69.7499937678852,41.5833333333333,20
"GLORYS",1993,25,100,15,-68.3333270211384,41.5833333333333,6
"GLORYS",1993,25,100,15,-68.2499936830945,41.5833333333333,38
"GLORYS",1993,25,100,15,-68.0833270070067,41.5833333333333,64
"GLORYS",1993,25,100,15,-67.9999936689627,41.5833333333333,59
"GLORYS",1993,25,100,15,-67.9166603309188,41.5833333333333,63
"GLORYS",1993,25,100,15,-67.8333269928749,41.5833333333333,65
"GLORYS",1993,25,100,15,-67.7499936548309,41.5833333333333,55
"GLORYS",1993,25,100,15,-67.666660316787,41.5833333333333,63
"GLORYS",1993,25,100,15,-67.5833269787431,41.5833333333333,31
"GLORYS",1993,25,100,15,-67.4999936406992,41.5833333333333,29
"GLORYS",1993,25,100,15,-67.4166603026552,41.5833333333333,22
"GLORYS",1993,25,100,15,-67.3333269646113,41.5833333333333,11
"GLORYS",1993,25,100,15,-69.7499937678852,41.5,101
"GLORYS",1993,25,100,15,-69.6666604298413,41.5,22
"GLORYS",1993,25,100,15,-69.5833270917973,41.5,8
"GLORYS",1993,25,100,15,-68.3333270211384,41.5,2
"GLORYS",1993,25,100,15,-68.2499936830945,41.5,21
"GLORYS",1993,25,100,15,-68.1666603450506,41.5,43
"GLORYS",1993,25,100,15,-68.0833270070067,41.5,63
"GLORYS",1993,25,100,15,-67.9999936689627,41.5,52
"GLORYS",1993,25,100,15,-67.9166603309188,41.5,51
"GLORYS",1993,25,100,15,-67.8333269928749,41.5,43
"GLORYS",1993,25,100,15,-67.7499936548309,41.5,38
"GLORYS",1993,25,100,15,-67.666660316787,41.5,35
"GLORYS",1993,25,100,15,-67.5833269787431,41.5,31
"GLORYS",1993,25,100,15,-67.4999936406992,41.5,26
"GLORYS",1993,25,100,15,-67.4166603026552,41.5,12
"GLORYS",1993,25,100,15,-67.3333269646113,41.5,7
"GLORYS",1993,25,100,15,-66.4166602461281,41.5,5
"GLORYS",1993,25,100,15,-66.3333269080842,41.5,7
"GLORYS",1993,25,100,15,-66.2499935700403,41.5,5
"GLORYS",1993,25,100,15,-69.5833270917973,41.4166666666667,32
"GLORYS",1993,25,100,15,-69.4999937537534,41.4166666666667,14
"GLORYS",1993,25,100,15,-68.2499936830945,41.4166666666667,4
"GLORYS",1993,25,100,15,-68.1666603450506,41.4166666666667,22
