"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","WEA_MAX","Demographics","Gent","region","lease_status"
"OTHER CAPE MAY, NJ",0.0216,0.0021,0.085,631106.335616438,NA,NA,"MidAtlantic","Leases, construction not in progress"
"MONTAUK, NY",0.0143,0.0069,0.0263,594276.944578313,NA,1,"MidAtlantic","Leases, construction not in progress"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0192,0.007,0.0282,552557.654054054,NA,NA,"NewEngland","Leases, construction not in progress"
"CHATHAM, MA",0.0078,0.0011,0.0216,464792.159459459,NA,1,"NewEngland","Leases, construction not in progress"
"NEWPORT, RI",0.0221,0.0103,0.0405,415778.2,NA,1,"NewEngland","Leases, construction not in progress"
"PORTLAND, ME",0.0057,8e-04,0.0114,406323.208974359,NA,1,"NewEngland","Leases, construction not in progress"
"BARNSTABLE, MA",0.0027,0,0.0312,378130.871428572,NA,NA,"NewEngland","Leases, construction not in progress"
"BEAUFORT, NC",0.0104,0.0014,0.0202,255815.272727273,NA,NA,"MidAtlantic","Leases, construction not in progress"
"LITTLE COMPTON, RI",0.0255,0.0075,0.0682,240883.680263158,NA,1,"NewEngland","Leases, construction not in progress"
"PROVINCETOWN, MA",0.005,2e-04,0.0247,232767.622,1,NA,"NewEngland","Leases, construction not in progress"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.0811,3e-04,0.2352,210756.760810811,NA,NA,"MidAtlantic","Leases, construction not in progress"
"POINT LOOKOUT, NY",0.0275,0.0063,0.0733,161637.82,NA,1,"MidAtlantic","Leases, construction not in progress"
"WESTPORT, MA",0.0283,0.0075,0.0499,147033.639726027,NA,NA,"NewEngland","Leases, construction not in progress"
"FALL RIVER, MA",0.0242,0.0011,0.0519,144943.746478873,1,NA,"NewEngland","Leases, construction not in progress"
"PORTSMOUTH, NH",0.0017,0,0.0141,137068.11686747,NA,1,"NewEngland","Leases, construction not in progress"
"ENGELHARD, NC",0.0073,0.0025,0.0195,127645.077464789,1,NA,"MidAtlantic","Leases, construction not in progress"
"SEA ISLE CITY, NJ",0.0264,0.0106,0.0532,118011.527142857,NA,1,"MidAtlantic","Leases, construction not in progress"
"INDIAN RIVER, DE",0.1357,0.0562,0.2059,117710.451282051,NA,1,"MidAtlantic","Leases, construction not in progress"
"SHINNECOCK/HAMPTON BAYS, NY",0.0045,0.0021,0.0096,112357.301282051,1,1,"MidAtlantic","Leases, construction not in progress"
"WANCHESE, NC",0.0032,0.0014,0.0066,106474.731325301,NA,NA,"MidAtlantic","Leases, construction not in progress"
"CHINCOTEAGUE, VA",0.0123,0.0056,0.0243,102030.12631579,NA,1,"MidAtlantic","Leases, construction not in progress"
"TIVERTON, RI",0.0179,2e-04,0.0724,77052.5857142857,NA,NA,"NewEngland","Leases, construction not in progress"
"ROCKLAND, ME",0.0016,2e-04,0.0066,76326.3242857143,NA,NA,"NewEngland","Leases, construction not in progress"
"SANDWICH, MA",0.0022,0,0.0115,58051.9142857143,NA,1,"NewEngland","Leases, construction not in progress"
"BRIELLE, NJ",0.02,0.0101,0.0409,51050.15,NA,1,"MidAtlantic","Leases, construction not in progress"
"HARWICHPORT, MA",0.0031,1e-04,0.0102,44915.3416666667,NA,1,"NewEngland","Leases, construction not in progress"
"BELFORD, NJ",0.0069,0.0034,0.0114,41930.1128205128,NA,1,"MidAtlantic","Leases, construction not in progress"
"ORIENTAL, NC",0.0038,5e-04,0.0125,36475.465060241,NA,1,"MidAtlantic","Leases, construction not in progress"
"PORT CLYDE, ME",0.0012,2e-04,0.0026,34686.354054054,NA,1,"NewEngland","Leases, construction not in progress"
"CHILMARK, MA",0.0127,0.0052,0.0259,31584.918,NA,1,"NewEngland","Leases, construction not in progress"
"NEW BEDFORD, MA",0.0241,0.0093,0.0578,24512306.6492958,1,1,"NewEngland","All leases"
"CAPE MAY, NJ",0.0574,0.0246,0.112,12039171.5676056,NA,1,"MidAtlantic","All leases"
"NEWPORT NEWS, VA",0.0522,0.0089,0.1456,9141430.42535211,1,NA,"MidAtlantic","All leases"
"ATLANTIC CITY, NJ",0.158,0.0256,0.2372,8053248.61428571,1,NA,"MidAtlantic","All leases"
"BARNEGAT LIGHT, NJ",0.0925,0.0249,0.1764,5768889.74415584,NA,1,"MidAtlantic","All leases"
"POINT JUDITH, RI",0.0433,0.0295,0.0766,5470743.31666666,NA,1,"NewEngland","All leases"
"POINT PLEASANT, NJ",0.0584,0.0389,0.1021,3396489.102,NA,NA,"MidAtlantic","All leases"
"GLOUCESTER, MA",0.0236,0.0184,0.036,2241154.22978723,NA,NA,"NewEngland","All leases"
"HAMPTON, VA",0.0383,0.0102,0.0894,1831963.90857143,NA,NA,"MidAtlantic","All leases"
"BOSTON, MA",0.0647,0.0484,0.0973,1624070.232,1,1,"NewEngland","All leases"
"LITTLE COMPTON, RI",0.1568,0.1057,0.2913,1225677.76081081,NA,1,"NewEngland","All leases"
"OCEAN CITY, MD",0.039,0.0212,0.0856,1169228.46478873,NA,NA,"MidAtlantic","All leases"
"POINT LOOKOUT, NY",0.0708,0.0124,0.1958,1096581.29142857,NA,1,"MidAtlantic","All leases"
"WILDWOOD, NJ",0.0819,0.0244,0.1662,1068453.90405405,NA,1,"MidAtlantic","All leases"
"STONINGTON, CT",0.0309,0.0097,0.0836,948892.174647887,NA,NA,"NewEngland","All leases"
"NEW LONDON, CT",0.031,0.0012,0.1186,941183.294366197,1,NA,"NewEngland","All leases"
"FAIRHAVEN, MA",0.0172,0.0033,0.0555,911214.676056338,NA,NA,"NewEngland","All leases"
"NEWPORT, RI",0.0418,0.0261,0.0562,807014.878378378,NA,1,"NewEngland","All leases"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0236,0.0074,0.0361,708275.562162162,NA,NA,"NewEngland","All leases"
"MONTAUK, NY",0.0213,0.0157,0.0307,692769,NA,1,"MidAtlantic","All leases"
"OTHER CAPE MAY, NJ",0.0232,0.0022,0.0929,689800.571232877,NA,NA,"MidAtlantic","All leases"
"CHATHAM, MA",0.0092,0.0011,0.0225,483954.702702703,NA,1,"NewEngland","All leases"
"BARNSTABLE, MA",0.0033,0,0.0374,453914.998979592,NA,NA,"NewEngland","All leases"
"PORTLAND, ME",0.0057,9e-04,0.0114,407416.634615385,NA,1,"NewEngland","All leases"
"BEAUFORT, NC",0.0122,0.0014,0.0249,314650.028409091,NA,NA,"MidAtlantic","All leases"
"WESTPORT, MA",0.0842,0.0448,0.169,301687.612820513,NA,NA,"NewEngland","All leases"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.1053,3e-04,0.2959,286583.695945946,NA,NA,"MidAtlantic","All leases"
"PROVINCETOWN, MA",0.0052,2e-04,0.026,245255.421,1,NA,"NewEngland","All leases"
"SHINNECOCK/HAMPTON BAYS, NY",0.0098,0.0024,0.0263,231418.557142857,1,1,"MidAtlantic","All leases"
"FALL RIVER, MA",0.0369,0.0038,0.0684,192328.963380282,1,NA,"NewEngland","All leases"
