CRUISE,STATION,YEAR,SEASON,COMMON_NAME,DECDEG_BEGLAT_SET,DECDEG_BEGLON_SET
201746,13,2017,FALL,BLACKBELLY ROSEFISH,42.87188,-68.01106
201746,20,2017,FALL,BLACKBELLY ROSEFISH,42.93523,-68.31021
201745,16,2017,SPRING,TILEFISH,42.46695,-67.70471
201745,16,2017,SPRING,BLACKBELLY ROSEFISH,42.46695,-67.70471
201745,17,2017,SPRING,BLACKBELLY ROSEFISH,42.5015,-67.62628
201745,18,2017,SPRING,BLACKBELLY ROSEFISH,42.52693,-67.57132
201745,22,2017,SPRING,BLACKBELLY ROSEFISH,42.11261,-68.16019
201744,13,2017,SPRING,BLACKBELLY ROSEFISH,42.85046,-67.93298
201744,14,2017,SPRING,BLACKBELLY ROSEFISH,42.76352,-67.70469
201744,20,2017,SPRING,BLACKBELLY ROSEFISH,42.87029,-68.41222
201847,16,2018,FALL,BLACKBELLY ROSEFISH,42.62913,-68.98685
201847,19,2018,FALL,BLACKBELLY ROSEFISH,42.41815,-67.95474
201847,20,2018,FALL,BLACKBELLY ROSEFISH,42.29138,-67.6275
201847,21,2018,FALL,BLACKBELLY ROSEFISH,42.34012,-67.60128
201847,22,2018,FALL,BLACKBELLY ROSEFISH,42.51255,-67.56069
201847,23,2018,FALL,TILEFISH,42.58546,-67.66544
201847,23,2018,FALL,BLACKBELLY ROSEFISH,42.58546,-67.66544
201845,10,2018,SPRING,BLACKBELLY ROSEFISH,42.48328,-67.73283
201845,10,2018,SPRING,TILEFISH,42.48328,-67.73283
201845,11,2018,SPRING,BLACKBELLY ROSEFISH,42.64575,-67.85238
201845,15,2018,SPRING,BLACKBELLY ROSEFISH,42.40744,-69.88137
201845,19,2018,SPRING,BLACKBELLY ROSEFISH,42.86645,-68.41798
201947,3,2019,FALL,BLACKBELLY ROSEFISH,42.27834,-67.62327
201947,4,2019,FALL,BLACKBELLY ROSEFISH,42.46219,-67.72209
201947,19,2019,FALL,BLACKBELLY ROSEFISH,42.65951,-67.81707
201947,20,2019,FALL,BLACKBELLY ROSEFISH,42.66767,-67.63487
201947,21,2019,FALL,BLACKBELLY ROSEFISH,42.58892,-67.64301
201947,22,2019,FALL,BLACKBELLY ROSEFISH,42.42533,-67.72737
201945,16,2019,SPRING,TILEFISH,42.22112,-68.10168
201945,18,2019,SPRING,BLACKBELLY ROSEFISH,42.3396,-67.8244
201945,18,2019,SPRING,TILEFISH,42.3396,-67.8244
201945,19,2019,SPRING,TILEFISH,42.5176,-67.98799
201945,19,2019,SPRING,BLACKBELLY ROSEFISH,42.5176,-67.98799
201945,21,2019,SPRING,BLACKBELLY ROSEFISH,42.55065,-67.53013
201945,22,2019,SPRING,BLACKBELLY ROSEFISH,42.24209,-67.92652
201944,5,2019,SPRING,BLACKBELLY ROSEFISH,42.91481,-67.86225
201944,11,2019,SPRING,BLACKBELLY ROSEFISH,42.88164,-68.83599
202046,4,2020,FALL,BLACKBELLY ROSEFISH,42.902488,-67.826067
202046,6,2020,FALL,BLACKBELLY ROSEFISH,43.077908,-67.780865
202046,10,2020,FALL,BLACKBELLY ROSEFISH,42.839585,-68.371442
202047,5,2020,FALL,BLACKBELLY ROSEFISH,42.737358,-67.704463
202047,6,2020,FALL,BLACKBELLY ROSEFISH,42.599433,-67.939673
202047,8,2020,FALL,BLACKBELLY ROSEFISH,42.426203,-67.83468
202047,9,2020,FALL,BLACKBELLY ROSEFISH,42.413478,-67.773783
202144,14,2021,SPRING,BLACKBELLY ROSEFISH,42.598122,-68.029982
202144,15,2021,SPRING,BLACKBELLY ROSEFISH,42.83945,-68.085707
202145,12,2021,SPRING,BLACKBELLY ROSEFISH,42.21096,-68.033818
202145,13,2021,SPRING,BLACKBELLY ROSEFISH,42.276777,-67.98466
202145,21,2021,SPRING,BLACKBELLY ROSEFISH,42.477938,-67.697833
202145,21,2021,SPRING,BLACKBELLY ROSEFISH,42.477938,-67.697833
202146,1,2021,FALL,BLACKBELLY ROSEFISH,42.797405,-67.740138
202146,2,2021,FALL,BLACKBELLY ROSEFISH,42.939698,-67.823478
202146,2,2021,FALL,BLACKBELLY ROSEFISH,42.939698,-67.823478
202146,5,2021,FALL,BLACKBELLY ROSEFISH,42.907825,-68.04741
202146,5,2021,FALL,BLACKBELLY ROSEFISH,42.907825,-68.04741
202147,2,2021,FALL,TILEFISH,42.299645,-67.96736
202147,2,2021,FALL,TILEFISH,42.299645,-67.96736
202147,2,2021,FALL,BLACKBELLY ROSEFISH,42.299645,-67.96736
202147,3,2021,FALL,BLACKBELLY ROSEFISH,42.226728,-67.735955
202147,4,2021,FALL,BLACKBELLY ROSEFISH,42.536742,-67.57778
202147,5,2021,FALL,BLACKBELLY ROSEFISH,42.480075,-67.734572
202147,6,2021,FALL,BLACKBELLY ROSEFISH,42.428968,-67.942383
