year,GEO_ID2,SUMLEVEL,REGION,Council,STATEABBR,GEO_NAME,MAPNAME,geography,TOTPOP,personal_disruption,pop_composition,poverty,labor_force_str,housing_characteristics,housing_disrupt,retiree_migration,urban_sprawl_index,ComEng,ComRel,RecEng,RecRel,RecEng_ct,RecRel_ct,ComEng_ct,ComRel_ct,personal_disruption_rank,pop_composition_rank,poverty_rank,labor_force_str_rank,housing_characteristics_rank,housing_disrupt_rank,retiree_migration_rank,urban_sprawl_index_rank
2022,901150,160,Northeast,New England,CT,"Ansonia, CT",Ansonia,"Ansonia city, Connecticut","18,954",0.176,1.404,0.099,-0.55,0.286,-0.942,-0.509,0.223,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med,high,med,low,med,low,low,med
2022,902480,160,Northeast,New England,CT,"Ball Pond, CT",Ball Pond,"Ball Pond CDP, Connecticut","2,531",-0.632,-0.026,-0.634,-0.571,-0.36, NA,-0.155, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,902550,160,Northeast,New England,CT,"Baltic, CT",Baltic,"Baltic CDP, Connecticut","1,150",0.221,-0.56,-0.146,-1.212,0.443, NA,-0.972,-0.575,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med,low,low,low,med,NA,low,low
2022,904790,160,Northeast,New England,CT,"Bethel, CT",Bethel,"Bethel CDP, Connecticut","11,551",-0.393,0.51,-0.506,-0.849,-0.202,-0.277,-0.737,0.377,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med high,low,low,low,low,low,med
2022,904965,160,Northeast,New England,CT,"Bigelow Corners, CT",Bigelow Corners,"Bigelow Corners CDP, Connecticut",936,-1.189,1.472,-1.067,0.704, NA, NA,0.764, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,high,low,med high,NA,NA,med high,NA
2022,906155,160,Northeast,New England,CT,"Bogus Hill, CT",Bogus Hill,"Bogus Hill CDP, Connecticut",199,0.217,-0.782,-1.067,-0.765, NA, NA,-0.105, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med,low,low,low,NA,NA,low,NA
2022,906680,160,Northeast,New England,CT,"Botsford, CT",Botsford,"Botsford CDP, Connecticut",571,-1.018,0.502,0.484,-2.293, NA, NA,-1.574, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med high,med,low,NA,NA,low,NA
2022,907100,160,Northeast,New England,CT,"Branchville, CT",Branchville,"Branchville CDP, Connecticut",79,-1.336,-0.694, NA,1.192, NA, NA,-0.187, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,NA,high,NA,NA,low,NA
2022,908000,160,Northeast,New England,CT,"Bridgeport, CT",Bridgeport,"Bridgeport city, Connecticut","148,470",0.979,1.798,1.188,-0.466,0.392,-0.649,-0.692,0.79,-0.146,-0.119,0.091,-0.158,med,low,low,low,med high,high,high,low,med,low,low,med high
2022,911360,160,Northeast,New England,CT,"Candlewood Isle, CT",Candlewood Isle,"Candlewood Isle CDP, Connecticut",467,-0.062,0.386,-1.067,-1.1, NA, NA,-1.142, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,low,NA,NA,low,NA
2022,911430,160,Northeast,New England,CT,"Candlewood Knolls, CT",Candlewood Knolls,"Candlewood Knolls CDP, Connecticut",170,1.261,-0.793,-1.067,-0.461, NA, NA,-0.962, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,high,low,low,low,NA,NA,low,NA
2022,911500,160,Northeast,New England,CT,"Candlewood Lake Club, CT",Candlewood Lake Club,"Candlewood Lake Club CDP, Connecticut",145,-1.336,-1.133, NA,0.177, NA, NA,2.265, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,NA,med,NA,NA,high,NA
2022,911640,160,Northeast,New England,CT,"Candlewood Orchards, CT",Candlewood Orchards,"Candlewood Orchards CDP, Connecticut",655,-0.599,-0.587,-0.51,0.423, NA, NA,1.03, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,NA,NA,high,NA
2022,911780,160,Northeast,New England,CT,"Candlewood Shores, CT",Candlewood Shores,"Candlewood Shores CDP, Connecticut",792,-0.407,-0.774,-0.379,-1.028, NA, NA,-0.682, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,911990,160,Northeast,New England,CT,"Cannondale, CT",Cannondale,"Cannondale CDP, Connecticut",532,-1.242,-0.191,-1.067,0.109, NA, NA,-1.023, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,NA,NA,low,NA
2022,914200,160,Northeast,New England,CT,"Cheshire Village, CT",Cheshire Village,"Cheshire Village CDP, Connecticut","5,879",-0.703,-0.26,-0.696,-0.044,0.123,-1.017,-0.112,0.222,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,med,low,low,med
2022,915420,160,Northeast,New England,CT,"Clinton, CT",Clinton,"Clinton CDP, Connecticut","3,113",-0.32,-0.465,-0.652,-0.227,0.312,-0.635,0.175,-0.054,-0.165,-0.117,1.654,1.508,high,high,low,low,low,low,low,low,med,low,med,low
2022,916085,160,Northeast,New England,CT,"Coleytown, CT",Coleytown,"Coleytown CDP, Connecticut","3,390",-0.58,-0.483,-0.73,-0.165, NA, NA,-0.277, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,916525,160,Northeast,New England,CT,"Compo, CT",Compo,"Compo CDP, Connecticut","3,638",-0.509,-0.259,-0.385,0.128,-1.361, NA,0.137, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,low,NA,med,NA
2022,916960,160,Northeast,New England,CT,"Conning Towers-Nautilus Park, CT",Conning Towers-Nautilus Park,"Conning Towers Nautilus Park CDP, Connecticut","8,330",-0.536,-0.071,-0.57,-0.463,0.188,-0.974,-1.327,-0.563,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,med,low,low,low
2022,918430,160,Northeast,New England,CT,"Danbury, CT",Danbury,"Danbury city, Connecticut","86,456",0.204,2.165,-0.006,-0.759,-0.064,-0.889,-0.675,0.363,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med,high,low,low,low,low,low,med
2022,918675,160,Northeast,New England,CT,"Daniels Farm, CT",Daniels Farm,"Daniels Farm CDP, Connecticut","6,067",-0.603,-0.59,-0.498,-0.721,-2.272, NA,-0.875, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,918936,160,Northeast,New England,CT,"Darien Downtown, CT",Darien Downtown,"Darien Downtown CDP, Connecticut","1,177",-0.562,0.123,-0.851,0.258,-0.793, NA,0.561, NA,-0.168,-0.12,-0.215,-0.129,low,low,low,low,low,med,low,med,low,NA,med high,NA
2022,919480,160,Northeast,New England,CT,"Derby, CT",Derby,"Derby city, Connecticut","12,373",0.27,0.44,0.585,-0.277,0.445,-1.307,-0.056,0.132,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med,med,med high,low,med,low,low,med
2022,920250,160,Northeast,New England,CT,"Dodgingtown, CT",Dodgingtown,"Dodgingtown CDP, Connecticut",89,-1.336,-0.854, NA,3.543, NA, NA,2.821, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,NA,high,NA,NA,high,NA
2022,920740,160,Northeast,New England,CT,"Durham, CT",Durham,"Durham CDP, Connecticut","3,469",-0.511,-0.526,-0.646,-1.13,-0.642,-0.738,-0.65,0.065,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,low,low,med
2022,922420,160,Northeast,New England,CT,"East Hampton, CT",East Hampton,"East Hampton CDP, Connecticut","2,944",-0.429,-0.401,-0.787,0.034,-0.006,-1.182,0.146,-0.052,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,low,low,med,low
2022,922980,160,Northeast,New England,CT,"East Haven, CT",East Haven,"East Haven CDP, Connecticut","27,871",-0.277,0.201,-0.221,-0.17,0.226,-0.805,-0.151,0.199,0.102,-0.107,-0.232,-0.163,low,low,med,low,low,med,low,low,med,low,low,med
2022,924520,160,Northeast,New England,CT,"East Village, CT",East Village,"East Village CDP, Connecticut","4,189",-1.037,-0.564,-0.935,-1.073, NA, NA,-1.111, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,930470,160,Northeast,New England,CT,"Gaylordsville, CT",Gaylordsville,"Gaylordsville CDP, Connecticut",538,-0.931,-0.586,-0.867,-1.377, NA, NA,-0.95, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,930540,160,Northeast,New England,CT,"Georgetown, CT",Georgetown,"Georgetown CDP, Connecticut","1,656",-0.727,-0.547,-0.869,-0.685,-2.228,-1.745,0.166,0.502,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,low,med,med high
2022,933480,160,Northeast,New England,CT,"Greens Farms, CT",Greens Farms,"Greens Farms CDP, Connecticut","3,050",-1.009,0.881,-0.802,0.084,-3.054, NA,-0.229, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med high,low,med,low,NA,low,NA
2022,934180,160,Northeast,New England,CT,"Groton, CT",Groton,"Groton city, Connecticut","9,364",0.169,-0.072,0.893,-0.972,0.587,-0.435,-0.9,-0.502,0.072,-0.097,0.893,0.123,med high,med,med,low,med,low,med high,low,med high,low,low,low
2022,934460,160,Northeast,New England,CT,"Groton Long Point, CT",Groton Long Point,"Groton Long Point borough, Connecticut",517,-0.493,-0.894,-0.055,0.32,-1.579,0.187,0.751,0.022,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,low,med,med high,med
2022,937490,160,Northeast,New England,CT,"Hawleyville, CT",Hawleyville,"Hawleyville CDP, Connecticut",150,-0.991,-0.456,0.324,-2.917, NA, NA,-2.74, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,med,low,NA,NA,low,NA
2022,939747,160,Northeast,New England,CT,"Inglenook, CT",Inglenook,"Inglenook CDP, Connecticut","1,082",-1.059,-0.644,-0.633,0.203, NA, NA,-0.27, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,NA,NA,low,NA
2022,939940,160,Northeast,New England,CT,"Jewett City, CT",Jewett City,"Jewett City borough, Connecticut","3,415",0.546,-0.559,-0.018,-0.358,0.52,-0.527,-0.462,-0.35,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med high,low,low,low,med high,low,low,low
2022,940077,160,Northeast,New England,CT,"Kellogg Point, CT",Kellogg Point,"Kellogg Point CDP, Connecticut",0, NA, NA, NA, NA, NA, NA, NA, NA,-0.168,,-0.232,,low,NA,low,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,940920,160,Northeast,New England,CT,"Knollcrest, CT",Knollcrest,"Knollcrest CDP, Connecticut",302,-1.042,0.047,-0.631,-0.801, NA, NA,-0.143, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,low,NA,NA,low,NA
2022,941410,160,Northeast,New England,CT,"Lake Pocotopaug, CT",Lake Pocotopaug,"Lake Pocotopaug CDP, Connecticut","4,761",-0.642,-0.385,-0.645,-0.284,0.102,-0.61,-0.035,0.026,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,med,low,low,med
2022,941585,160,Northeast,New England,CT,"Lakes East, CT",Lakes East,"Lakes East CDP, Connecticut","1,457",-1.206,-0.189,-1.067,-0.863, NA, NA,-0.938, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,941714,160,Northeast,New England,CT,"Lakeside Woods, CT",Lakeside Woods,"Lakeside Woods CDP, Connecticut",402,-1.336,-1.034,-1.067,-1.18, NA, NA,-0.527, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,941736,160,Northeast,New England,CT,"Lakes West, CT",Lakes West,"Lakes West CDP, Connecticut","1,358",-0.822,-0.55,-0.859,-1.403, NA, NA,-1.275, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
