Year,Mean
1854,11.83792
1855,12.09031
1856,10.89427
1857,11.1751
1858,11.41875
1859,11.33875
1860,11.81469
1861,12.33844
1862,11.69781
1863,11.21344
1864,11.92521
1865,12.81677
1866,12.7801
1867,12.65854
1868,12.64458
1869,11.47344
1870,12.09229
1871,12.25594
1872,12.50281
1873,10.08031
1874,11.41979
1875,10.9951
1876,11.24177
1877,10.99885
1878,11.22573
1879,11.03427
1880,11.79917
1881,11.25396
1882,11.23208
1883,10.88229
1884,11.56
1885,11.4801
1886,11.98458
1887,11.72531
1888,11.02656
1889,11.55583
1890,11.71885
1891,10.93313
1892,11.21406
1893,10.5
1894,11.57719
1895,11.60198
1896,11.65323
1897,11.34438
1898,11.4151
1899,11.53344
1900,11.61313
1901,11.02021
1902,10.89958
1903,11.16302
1904,10.88823
1905,10.10469
1906,11.54708
1907,10.12063
1908,11.28958
1909,11.09979
1910,11.16833
1911,11.50802
1912,11.49156
1913,12.26417
1914,11.50615
1915,11.48281
1916,10.63667
1917,10.37125
1918,10.55042
1919,10.64042
1920,11.00208
1921,12.20177
1922,11.43646
1923,10.50115
1924,10.89521
1925,11.40417
1926,10.87021
1927,11.12792
1928,11.56635
1929,11.61719
1930,11.95156
1931,12.16521
1932,11.93552
1933,11.93104
1934,11.65833
1935,11.52927
1936,11.40542
1937,12.24396
1938,12.08917
1939,12.10938
1940,11.27896
1941,11.59792
1942,12.23229
1943,12.2474
1944,12.54969
1945,12.49031
1946,12.20604
1947,12.9801
1948,12.06646
1949,13.3974
1950,12.3274
1951,13.18813
1952,12.35635
1953,12.54375
1954,12.1651
1955,12.05323
1956,11.39198
1957,12.3025
1958,11.5675
1959,12.07354
1960,11.98448
1961,11.53313
1962,11.54229
1963,11.56219
1964,10.92906
1965,10.44802
1966,10.74521
1967,10.83896
1968,11.58281
1969,11.75854
1970,11.74052
1971,11.71677
1972,11.52906
1973,12.34646
1974,12.49958
1975,12.29969
1976,11.99958
1977,11.59927
1978,11.49823
1979,11.8225
1980,12.03698
1981,11.69073
1982,11.96323
1983,12.53719
1984,12.34448
1985,12.58229
1986,12.25052
1987,11.81427
1988,11.3975
1989,12.01625
1990,12.1875
1991,12.33719
1992,11.34781
1993,11.66042
1994,11.88385
1995,12.06583
1996,10.96677
1997,11.52271
1998,12.15198
1999,12.84594
2000,12.56635
2001,12.32448
2002,12.72396
2003,11.47135
2004,11.76854
2005,12.17875
2006,12.7249
2007,12.27521
2008,12.355
2009,12.33271
2010,12.97542
2011,12.76406
2012,13.85292
2013,12.92344
2014,12.86229
2015,13.12031
2016,13.83198
2017,13.30688
2018,12.86521
2019,12.72771
2020,13.4075
2021,13.8949
2022,13.45813
