EPU_Year,Shannon
GB_2000,2.801117489
GB_2001,2.856689084
GB_2002,2.807279433
GB_2003,2.881721275
GB_2004,2.82478512
GB_2005,2.871641194
GB_2006,2.859738642
GB_2007,2.909757873
GB_2008,2.887076383
GB_2009,2.947210566
GB_2010,2.819401701
GB_2011,2.833156793
GB_2012,2.59964367
GB_2013,2.667661084
GB_2014,2.534976118
GB_2015,2.548172175
GB_2016,2.493603543
GB_2017,2.649896451
GB_2018,2.554033334
GB_2019,2.755155948
GOM_2000,2.597247207
GOM_2001,2.596722745
GOM_2002,2.63166708
GOM_2003,2.551315522
GOM_2004,2.458781661
GOM_2005,2.484130843
GOM_2006,2.586380963
GOM_2007,2.648932542
GOM_2008,2.566477348
GOM_2009,2.659975116
GOM_2010,2.494498489
GOM_2011,2.561520241
GOM_2012,2.537595754
GOM_2013,2.583737522
GOM_2014,2.646615598
GOM_2015,2.809263207
GOM_2016,2.725688268
GOM_2017,2.647120601
GOM_2018,2.707007266
GOM_2019,2.536750805
MAB_2000,2.63853971
MAB_2001,2.744892472
MAB_2002,2.717650875
MAB_2003,2.760604929
MAB_2004,2.791551344
MAB_2005,2.757462642
MAB_2006,2.699283433
MAB_2007,2.650824152
MAB_2008,2.68434557
MAB_2009,2.613027331
MAB_2010,2.61108543
MAB_2011,2.613102902
MAB_2012,2.394576407
MAB_2013,2.493606367
MAB_2014,2.561391647
MAB_2015,2.545286992
MAB_2016,2.42447301
MAB_2017,2.588453431
MAB_2018,2.581967187
MAB_2019,2.483594584
SS_2000,2.741738988
SS_2001,2.784624198
SS_2002,2.74817014
SS_2003,2.680233122
SS_2004,2.641787853
SS_2005,2.726308663
SS_2006,2.743334745
SS_2007,2.826618075
SS_2008,2.915004002
SS_2009,2.668476119
SS_2010,2.695692804
SS_2011,2.727072202
SS_2012,2.556417351
SS_2013,2.520436249
SS_2014,2.607827204
SS_2015,2.620319005
SS_2016,2.530776169
SS_2017,2.420813796
SS_2018,2.403610033
SS_2019,2.444571792
