year.month,GSI,WGSI
1954.01,1.691362022,0.562627068
1954.02,1.869605169,0.583088459
1954.03,1.539443633,0.7742207
1954.04,1.48999405,0.926772117
1954.05,1.355842752,1.054291499
1954.06,1.726491138,0.370701594
1954.07,1.438823878,0.17297963
1954.08,-0.310432438,-1.422814745
1954.09,0.692250544,-0.103915217
1954.10,0.981169666,0.174381847
1954.11,0.323692374,0.313441118
1954.12,-0.716659036,-0.614722636
1955.01,-0.840334069,-0.999899142
1955.02,-0.636211024,-0.83585235
1955.03,-0.251389716,-1.064770108
1955.04,-0.073604124,0.514900133
1955.05,0.092831277,0.481020779
1955.06,-0.21508925,-1.144459848
1955.07,0.338067228,-0.399990024
1955.08,0.482790965,0.860206597
1955.09,0.544815255,0.607992995
1955.10,-0.132648671,0.662871957
1955.11,-0.369953957,0.293445688
1955.12,-1.010758121,-0.571178897
1956.01,-1.236111363,-0.171578341
1956.02,-0.699142129,-0.638964964
1956.03,-0.924415287,-0.845304237
1956.04,-0.472418944,-0.14618747
1956.05,-0.927652676,-0.501635737
1956.06,-0.665604997,-1.694118017
1956.07,0.534384381,1.098433161
1956.08,0.129080247,0.466449028
1956.09,0.502472655,0.282159019
1956.10,0.179997618,-0.226893087
1956.11,0.291594973,0.513821233
1956.12,0.159191988,0.100492028
1957.01,-0.127711768,-0.155831274
1957.02,-0.012479239,-0.387048759
1957.03,1.247265651,1.466681778
1957.04,-0.128712937,-0.485698805
1957.05,-0.297639365,0.235210191
1957.06,0.160638055,0.3899752
1957.07,0.314844233,0.159325644
1957.08,0.275129871,0.761616423
1957.09,-0.094266369,1.333509628
1957.10,0.238858617,1.355292709
1957.11,0.143434929,0.74187942
1957.12,-0.682241888,-0.377820222
1958.01,-1.471298381,-1.690229375
1958.02,-0.886590603,-0.870754832
1958.03,-0.863997989,-0.680458866
1958.04,-2.208724995,-1.893965182
1958.05,-1.115756339,-0.811574034
1958.06,-2.221438065,-2.359696524
1958.07,-1.662774117,-1.731247259
1958.08,-0.71368661,-1.097328229
1958.09,-0.574359532,-0.833519335
1958.10,-1.00275786,-0.899568856
1958.11,-0.992204628,-1.338171288
1958.12,-0.476930995,-0.772801723
1959.01,-1.4526072,-1.92408864
1959.02,-1.040196999,-0.006900273
1959.03,-1.529543418,0.489067676
1959.04,-2.299831277,-0.840515798
1959.05,-1.781079256,-0.704890587
1959.06,-1.196990204,-0.051208968
1959.07,-1.682668285,-1.635886621
1959.08,-1.694423412,-1.247095852
1959.09,-1.238785238,-0.899883708
1959.10,-1.709684649,-1.169574036
1959.11,-0.399188147,0.052227438
1959.12,-1.115305125,0.236232384
1960.01,-0.841783746,0.262460803
1960.02,-0.917337662,0.041871122
1960.03,-0.517900156,-0.368656349
1960.04,-0.964993592,-1.087376898
1960.05,-0.837115396,-0.119302393
1960.06,-1.49678552,-0.673298359
1960.07,-1.56629374,-0.395780602
1960.08,-1.938565334,-0.582176509
1960.09,-1.526470824,-0.049656128
1960.10,-1.470510279,0.084849492
1960.11,-2.169758974,-1.510111798
1960.12,-1.550651022,-0.783750044
1961.01,-0.786426093,0.742158208
1961.02,-0.585600454,0.465803706
1961.03,-0.376908992,-0.008462008
1961.04,-1.498857602,-1.989578744
1961.05,-1.341212334,-1.497598976
1961.06,-0.591988625,-0.830979357
1961.07,-1.42311523,0.094106136
1961.08,-0.985326528,-0.013111123
1961.09,-2.021567541,-0.874859169
1961.10,-0.667624406,-0.308540995
1961.11,-0.280223166,-0.16299212
1961.12,-0.782831886,0.068634074
1962.01,0.115761889,-0.07483973
1962.02,-1.612797987,-0.839327893
1962.03,-1.15413978,-1.467626645
1962.04,-1.606980329,-0.550274271
1962.05,-0.913342027,-0.842289452
1962.06,-1.036541569,-0.68106467
1962.07,-1.339842799,-0.995595997
