Estimate Status,Year,State/Area,Species,Total Catch (Kept+Alive+Dead),PSE,Harvest (Kept),PSE,Released Alive,PSE,Discarded Dead,PSE
FINAL,2008,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2009,VIRGINIA,DUSKY SHARK,419,53.2,.,.,419,53.2,.,.
FINAL,2009,MARYLAND/DELAWARE,DUSKY SHARK,681,22.8,.,.,681,22.8,.,.
FINAL,2009,SOUTH NEW JERSEY,DUSKY SHARK,137,44.6,.,.,137,44.6,.,.
FINAL,2009,NORTH NEW JERSEY,DUSKY SHARK,354,58,.,.,354,58,.,.
FINAL,2009,NEW YORK,DUSKY SHARK,35,63.9,.,.,35,63.9,.,.
FINAL,2009,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,7,100,.,.,7,100,.,.
FINAL,2009,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2009,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2010,VIRGINIA,DUSKY SHARK,16,59.4,.,.,16,59.4,.,.
FINAL,2010,MARYLAND/DELAWARE,DUSKY SHARK,550,29.2,14,100,536,29.9,.,.
FINAL,2010,SOUTH NEW JERSEY,DUSKY SHARK,57,70.8,.,.,57,70.8,.,.
FINAL,2010,NORTH NEW JERSEY,DUSKY SHARK,286,58.6,.,.,286,58.6,.,.
FINAL,2010,NEW YORK,DUSKY SHARK,106,41.9,.,.,106,41.9,.,.
FINAL,2010,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2010,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2010,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2011,VIRGINIA,DUSKY SHARK,39,64.4,.,.,39,64.4,.,.
FINAL,2011,MARYLAND/DELAWARE,DUSKY SHARK,510,30.3,.,.,510,30.3,.,.
FINAL,2011,SOUTH NEW JERSEY,DUSKY SHARK,175,44.1,.,.,175,44.1,.,.
FINAL,2011,NORTH NEW JERSEY,DUSKY SHARK,313,55.2,.,.,313,55.2,.,.
FINAL,2011,NEW YORK,DUSKY SHARK,56,79.6,.,.,56,79.6,.,.
FINAL,2011,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2011,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2011,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2012,VIRGINIA,DUSKY SHARK,139,67,.,.,139,67,.,.
FINAL,2012,MARYLAND/DELAWARE,DUSKY SHARK,314,28,.,.,314,28,.,.
FINAL,2012,SOUTH NEW JERSEY,DUSKY SHARK,60,62.1,.,.,60,62.1,.,.
FINAL,2012,NORTH NEW JERSEY,DUSKY SHARK,183,60.1,.,.,183,60.1,.,.
FINAL,2012,NEW YORK,DUSKY SHARK,115,43.4,.,.,115,43.4,.,.
FINAL,2012,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2012,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2012,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2013,VIRGINIA,DUSKY SHARK,15,71.4,.,.,15,71.4,.,.
FINAL,2013,MARYLAND/DELAWARE,DUSKY SHARK,234,29.7,.,.,234,29.7,.,.
FINAL,2013,SOUTH NEW JERSEY,DUSKY SHARK,166,54.1,.,.,166,54.1,.,.
FINAL,2013,NORTH NEW JERSEY,DUSKY SHARK,50,50.8,.,.,50,50.8,.,.
FINAL,2013,NEW YORK,DUSKY SHARK,108,82.8,.,.,108,82.8,.,.
FINAL,2013,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,61,100,.,.,61,100,.,.
FINAL,2013,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2013,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2014,VIRGINIA,DUSKY SHARK,12,92.7,.,.,12,92.7,.,.
FINAL,2014,MARYLAND/DELAWARE,DUSKY SHARK,170,30.4,.,.,170,30.4,.,.
FINAL,2014,SOUTH NEW JERSEY,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2014,NORTH NEW JERSEY,DUSKY SHARK,214,34.7,.,.,214,34.7,.,.
FINAL,2014,NEW YORK,DUSKY SHARK,56,100,.,.,56,100,.,.
FINAL,2014,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2014,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2014,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2015,VIRGINIA,DUSKY SHARK,55,49.5,.,.,55,49.5,.,.
FINAL,2015,MARYLAND/DELAWARE,DUSKY SHARK,178,25.7,.,.,178,25.7,.,.
FINAL,2015,SOUTH NEW JERSEY,DUSKY SHARK,368,44.6,.,.,368,44.6,.,.
FINAL,2015,NORTH NEW JERSEY,DUSKY SHARK,542,29.9,.,.,542,29.9,.,.
FINAL,2015,NEW YORK,DUSKY SHARK,37,60.3,.,.,37,60.3,.,.
FINAL,2015,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2015,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2015,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2016,VIRGINIA,DUSKY SHARK,62,57.9,.,.,62,57.9,.,.
FINAL,2016,MARYLAND/DELAWARE,DUSKY SHARK,76,46.8,.,.,76,46.8,.,.
FINAL,2016,SOUTH NEW JERSEY,DUSKY SHARK,151,51.6,.,.,151,51.6,.,.
FINAL,2016,NORTH NEW JERSEY,DUSKY SHARK,414,36.9,.,.,414,36.9,.,.
FINAL,2016,NEW YORK,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2016,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2016,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2016,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2017,VIRGINIA,DUSKY SHARK,89,55.2,.,.,89,55.2,.,.
FINAL,2017,MARYLAND/DELAWARE,DUSKY SHARK,218,29,.,.,218,29,.,.
FINAL,2017,SOUTH NEW JERSEY,DUSKY SHARK,126,46.1,.,.,126,46.1,.,.
FINAL,2017,NORTH NEW JERSEY,DUSKY SHARK,332,47,.,.,332,47,.,.
FINAL,2017,NEW YORK,DUSKY SHARK,98,69,.,.,98,69,.,.
FINAL,2017,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,2,100,.,.,2,100,.,.
FINAL,2017,MASSACHUSETTS,DUSKY SHARK,9,100,.,.,9,100,.,.
FINAL,2017,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2018,VIRGINIA,DUSKY SHARK,3,75.6,.,.,3,75.6,.,.
FINAL,2018,MARYLAND/DELAWARE,DUSKY SHARK,190,36.3,.,.,190,36.3,.,.
FINAL,2018,SOUTH NEW JERSEY,DUSKY SHARK,144,73.3,.,.,144,73.3,.,.
FINAL,2018,NORTH NEW JERSEY,DUSKY SHARK,230,54.9,.,.,230,54.9,.,.
FINAL,2018,NEW YORK,DUSKY SHARK,86,62.8,.,.,86,62.8,.,.
FINAL,2018,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,81,65.6,.,.,81,65.6,.,.
FINAL,2018,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2018,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2019,VIRGINIA,DUSKY SHARK,9,62.5,.,.,9,62.5,.,.
FINAL,2019,MARYLAND/DELAWARE,DUSKY SHARK,61,50.6,.,.,61,50.6,.,.
FINAL,2019,SOUTH NEW JERSEY,DUSKY SHARK,394,44.1,.,.,394,44.1,.,.
FINAL,2019,NORTH NEW JERSEY,DUSKY SHARK,112,46.9,.,.,112,46.9,.,.
FINAL,2019,NEW YORK,DUSKY SHARK,66,51.9,.,.,66,51.9,.,.
FINAL,2019,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,28,71.2,.,.,28,71.2,.,.
FINAL,2019,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2019,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2020,VIRGINIA,DUSKY SHARK,28,66.2,.,.,28,66.2,.,.
FINAL,2020,MARYLAND/DELAWARE,DUSKY SHARK,128,59.9,.,.,128,59.9,.,.
FINAL,2020,SOUTH NEW JERSEY,DUSKY SHARK,271,56.3,.,.,271,56.3,.,.
FINAL,2020,NORTH NEW JERSEY,DUSKY SHARK,26,100,.,.,26,100,.,.
FINAL,2020,NEW YORK,DUSKY SHARK,124,53.4,.,.,124,53.4,.,.
FINAL,2020,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,32,77.8,.,.,32,77.8,.,.
FINAL,2020,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2020,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
PRELIMINARY,2021,VIRGINIA,DUSKY SHARK,37,54.6,.,.,34,58.5,3,100
PRELIMINARY,2021,MARYLAND/DELAWARE,DUSKY SHARK,136,63.5,.,.,136,63.5,.,.
PRELIMINARY,2021,SOUTH NEW JERSEY,DUSKY SHARK,29,100,.,.,29,100,.,.
PRELIMINARY,2021,NORTH NEW JERSEY,DUSKY SHARK,348,66.8,.,.,348,66.8,.,.
PRELIMINARY,2021,NEW YORK,DUSKY SHARK,.,.,.,.,.,.,.,.
PRELIMINARY,2021,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,28,100,.,.,28,100,.,.
PRELIMINARY,2021,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
PRELIMINARY,2021,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2002,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2002,MARYLAND/DELAWARE,COMMON THRESHER,17,71,9,100,8,100,.,.
FINAL,2002,SOUTH NEW JERSEY,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2002,NORTH NEW JERSEY,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2002,NEW YORK,COMMON THRESHER,331,33.9,331,33.9,.,.,.,.
FINAL,2002,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,98,65.6,98,65.6,.,.,.,.
FINAL,2002,MASSACHUSETTS,COMMON THRESHER,764,64.9,215,100,548,81.4,.,.
FINAL,2002,NEW HAMPSHIRE/MAINE,COMMON THRESHER,18,70.7,9,100,9,100,.,.
FINAL,2003,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2003,MARYLAND/DELAWARE,COMMON THRESHER,66,46.4,34,67.7,32,63.1,.,.
FINAL,2003,SOUTH NEW JERSEY,COMMON THRESHER,104,49.8,104,49.8,.,.,.,.
FINAL,2003,NORTH NEW JERSEY,COMMON THRESHER,18,70.7,9,100,.,.,9,100
FINAL,2003,NEW YORK,COMMON THRESHER,497,37.2,368,36.1,129,100,.,.
FINAL,2003,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,10,100,10,100,.,.,.,.
FINAL,2003,MASSACHUSETTS,COMMON THRESHER,190,76.7,135,100,55,100,.,.
FINAL,2003,NEW HAMPSHIRE/MAINE,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2004,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2004,MARYLAND/DELAWARE,COMMON THRESHER,27,62.1,5,100,22,72.6,.,.
FINAL,2004,SOUTH NEW JERSEY,COMMON THRESHER,89,62,89,62,.,.,.,.
FINAL,2004,NORTH NEW JERSEY,COMMON THRESHER,30,100,30,100,.,.,.,.
FINAL,2004,NEW YORK,COMMON THRESHER,986,23.3,950,24,36,70.9,.,.
FINAL,2004,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,179,36.1,163,38.5,16,100,.,.
FINAL,2004,MASSACHUSETTS,COMMON THRESHER,607,49.6,230,38.1,378,76.3,.,.
FINAL,2004,NEW HAMPSHIRE/MAINE,COMMON THRESHER,17,100,17,100,.,.,.,.
FINAL,2005,VIRGINIA,COMMON THRESHER,5,100,5,100,.,.,.,.
FINAL,2005,MARYLAND/DELAWARE,COMMON THRESHER,49,41.1,39,47.9,10,76.6,.,.
FINAL,2005,SOUTH NEW JERSEY,COMMON THRESHER,143,47.8,143,47.8,.,.,.,.
FINAL,2005,NORTH NEW JERSEY,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2005,NEW YORK,COMMON THRESHER,550,24.1,493,25.6,56,70,.,.
FINAL,2005,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,1057,67.2,1045,67.9,11,79.3,.,.
FINAL,2005,MASSACHUSETTS,COMMON THRESHER,189,62.7,89,71.4,.,.,100,100
FINAL,2005,NEW HAMPSHIRE/MAINE,COMMON THRESHER,36,100,.,.,36,100,.,.
FINAL,2006,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2006,MARYLAND/DELAWARE,COMMON THRESHER,82,57.7,31,73.6,51,81.4,.,.
FINAL,2006,SOUTH NEW JERSEY,COMMON THRESHER,267,46.5,214,52.4,53,100,.,.
FINAL,2006,NORTH NEW JERSEY,COMMON THRESHER,48,72.5,.,.,48,72.5,.,.
FINAL,2006,NEW YORK,COMMON THRESHER,642,24.1,580,25.6,62,67.6,.,.
FINAL,2006,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,82,73.5,82,73.5,.,.,.,.
FINAL,2006,MASSACHUSETTS,COMMON THRESHER,466,77.1,94,85.1,372,94.1,.,.
FINAL,2006,NEW HAMPSHIRE/MAINE,COMMON THRESHER,58,58.9,38,72.9,19,100,.,.
FINAL,2007,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2007,MARYLAND/DELAWARE,COMMON THRESHER,87,40,50,53,37,61,.,.
FINAL,2007,SOUTH NEW JERSEY,COMMON THRESHER,113,37.8,101,40.7,13,100,.,.
FINAL,2007,NORTH NEW JERSEY,COMMON THRESHER,182,37.8,79,59.7,103,48.7,.,.
FINAL,2007,NEW YORK,COMMON THRESHER,503,19.5,359,22.5,144,38.6,.,.
FINAL,2007,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,69,48.9,57,55.2,12,100,.,.
FINAL,2007,MASSACHUSETTS,COMMON THRESHER,548,44.2,548,44.2,.,.,.,.
FINAL,2007,NEW HAMPSHIRE/MAINE,COMMON THRESHER,198,39,56,75.2,142,45.6,.,.
FINAL,2008,VIRGINIA,COMMON THRESHER,52,75.3,.,.,52,75.3,.,.
FINAL,2008,MARYLAND/DELAWARE,COMMON THRESHER,20,60.5,12,75.5,8,100,.,.
FINAL,2008,SOUTH NEW JERSEY,COMMON THRESHER,76,46.8,60,52.9,16,100,.,.
FINAL,2008,NORTH NEW JERSEY,COMMON THRESHER,61,60.9,46,73.6,14,100,.,.
FINAL,2008,NEW YORK,COMMON THRESHER,601,27.7,412,24.9,189,69.3,.,.
FINAL,2008,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,116,69.3,39,60.9,77,100,.,.
FINAL,2008,MASSACHUSETTS,COMMON THRESHER,567,68.3,196,56,371,100,.,.
FINAL,2008,NEW HAMPSHIRE/MAINE,COMMON THRESHER,309,26.3,250,29.8,59,54.4,.,.
FINAL,2009,VIRGINIA,COMMON THRESHER,2,100,.,.,2,100,.,.
FINAL,2009,MARYLAND/DELAWARE,COMMON THRESHER,98,59.6,16,100,82,68.7,.,.
FINAL,2009,SOUTH NEW JERSEY,COMMON THRESHER,143,36.9,129,39.4,13,100,.,.
FINAL,2009,NORTH NEW JERSEY,COMMON THRESHER,88,52.8,51,73.9,37,73.3,.,.
FINAL,2009,NEW YORK,COMMON THRESHER,497,21.3,470,22.1,27,75,.,.
FINAL,2009,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,94,38.4,67,45.6,27,71.2,.,.
FINAL,2009,MASSACHUSETTS,COMMON THRESHER,19,100,.,.,19,100,.,.
FINAL,2009,NEW HAMPSHIRE/MAINE,COMMON THRESHER,468,24.5,270,32.8,198,36.9,.,.
FINAL,2010,VIRGINIA,COMMON THRESHER,1,100,1,100,.,.,.,.
FINAL,2010,MARYLAND/DELAWARE,COMMON THRESHER,43,59.7,43,59.7,.,.,.,.
FINAL,2010,SOUTH NEW JERSEY,COMMON THRESHER,72,52.4,57,60.7,15,100,.,.
FINAL,2010,NORTH NEW JERSEY,COMMON THRESHER,402,69.6,74,58.5,328,84.2,.,.
FINAL,2010,NEW YORK,COMMON THRESHER,162,27.1,162,27.1,.,.,.,.
FINAL,2010,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,83,51.2,37,72.9,46,71.3,.,.
FINAL,2010,MASSACHUSETTS,COMMON THRESHER,187,48.3,152,56.9,36,75.9,.,.
FINAL,2010,NEW HAMPSHIRE/MAINE,COMMON THRESHER,183,41.1,63,68.3,120,51.4,.,.
FINAL,2011,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2011,MARYLAND/DELAWARE,COMMON THRESHER,22,95.7,.,.,22,95.7,.,.
FINAL,2011,SOUTH NEW JERSEY,COMMON THRESHER,15,100,15,100,.,.,.,.
FINAL,2011,NORTH NEW JERSEY,COMMON THRESHER,139,39.3,97,46.7,41,72.9,.,.
FINAL,2011,NEW YORK,COMMON THRESHER,314,21.9,274,23.6,40,58.3,.,.
FINAL,2011,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,90,42.1,74,46.5,.,.,16,100
FINAL,2011,MASSACHUSETTS,COMMON THRESHER,111,72.7,111,72.7,.,.,.,.
FINAL,2011,NEW HAMPSHIRE/MAINE,COMMON THRESHER,238,41.6,140,55.1,98,63.4,.,.
FINAL,2012,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2012,MARYLAND/DELAWARE,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2012,SOUTH NEW JERSEY,COMMON THRESHER,50,70.7,25,100,25,100,.,.
FINAL,2012,NORTH NEW JERSEY,COMMON THRESHER,62,60.8,.,.,62,60.8,.,.
FINAL,2012,NEW YORK,COMMON THRESHER,397,22.5,352,24.2,44,58.8,.,.
FINAL,2012,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,26,86,26,86,.,.,.,.
FINAL,2012,MASSACHUSETTS,COMMON THRESHER,180,41.7,138,45,42,100,.,.
FINAL,2012,NEW HAMPSHIRE/MAINE,COMMON THRESHER,245,44.4,65,56,181,56.9,.,.
FINAL,2013,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2013,MARYLAND/DELAWARE,COMMON THRESHER,20,75.2,6,100,14,100,.,.
FINAL,2013,SOUTH NEW JERSEY,COMMON THRESHER,68,52.8,41,57.3,28,100,.,.
FINAL,2013,NORTH NEW JERSEY,COMMON THRESHER,247,63.2,206,74.9,41,57.8,.,.
FINAL,2013,NEW YORK,COMMON THRESHER,414,26.7,350,29.1,64,68,.,.
FINAL,2013,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,38,60.8,22,76,15,100,.,.
FINAL,2013,MASSACHUSETTS,COMMON THRESHER,7,100,7,100,.,.,.,.
FINAL,2013,NEW HAMPSHIRE/MAINE,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2014,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2014,MARYLAND/DELAWARE,COMMON THRESHER,20,86.3,.,.,20,86.3,.,.
FINAL,2014,SOUTH NEW JERSEY,COMMON THRESHER,174,77,44,70,131,100,.,.
FINAL,2014,NORTH NEW JERSEY,COMMON THRESHER,209,34.2,140,37.5,70,69.8,.,.
FINAL,2014,NEW YORK,COMMON THRESHER,740,17.3,674,18.2,66,55.4,.,.
FINAL,2014,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,29,73.7,29,73.7,.,.,.,.
FINAL,2014,MASSACHUSETTS,COMMON THRESHER,166,54.6,139,63.7,27,71.1,.,.
FINAL,2014,NEW HAMPSHIRE/MAINE,COMMON THRESHER,46,84.5,.,.,46,84.5,.,.
FINAL,2015,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2015,MARYLAND/DELAWARE,COMMON THRESHER,4,100,.,.,4,100,.,.
FINAL,2015,SOUTH NEW JERSEY,COMMON THRESHER,34,100,34,100,.,.,.,.
FINAL,2015,NORTH NEW JERSEY,COMMON THRESHER,288,35.2,209,35.5,79,87.2,.,.
FINAL,2015,NEW YORK,COMMON THRESHER,815,16.7,565,17.5,250,37.3,.,.
FINAL,2015,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,60,62.6,39,79.9,21,100,.,.
FINAL,2015,MASSACHUSETTS,COMMON THRESHER,154,42.1,46,67.2,108,52.8,.,.
FINAL,2015,NEW HAMPSHIRE/MAINE,COMMON THRESHER,22,100,22,100,.,.,.,.
FINAL,2016,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2016,MARYLAND/DELAWARE,COMMON THRESHER,8,100,.,.,8,100,.,.
FINAL,2016,SOUTH NEW JERSEY,COMMON THRESHER,71,63.7,31,100,39,82.3,.,.
FINAL,2016,NORTH NEW JERSEY,COMMON THRESHER,411,29.1,317,30.6,94,74.6,.,.
FINAL,2016,NEW YORK,COMMON THRESHER,379,19.8,281,22,98,43.1,.,.
FINAL,2016,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,33,84.9,33,84.9,.,.,.,.
FINAL,2016,MASSACHUSETTS,COMMON THRESHER,41,76.6,.,.,41,76.6,.,.
FINAL,2016,NEW HAMPSHIRE/MAINE,COMMON THRESHER,20,100,20,100,.,.,.,.
FINAL,2017,VIRGINIA,COMMON THRESHER,9,100,9,100,.,.,.,.
FINAL,2017,MARYLAND/DELAWARE,COMMON THRESHER,21,67.4,16,81.4,4,100,.,.
FINAL,2017,SOUTH NEW JERSEY,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2017,NORTH NEW JERSEY,COMMON THRESHER,201,33.9,166,35.2,35,100,.,.
FINAL,2017,NEW YORK,COMMON THRESHER,848,19.5,510,23.4,338,33.9,.,.
FINAL,2017,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,76,68.4,76,68.4,.,.,.,.
FINAL,2017,MASSACHUSETTS,COMMON THRESHER,520,45.6,49,46.3,471,50.1,.,.
FINAL,2017,NEW HAMPSHIRE/MAINE,COMMON THRESHER,139,47.2,8,100,131,49.6,.,.
FINAL,2018,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2018,MARYLAND/DELAWARE,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2018,SOUTH NEW JERSEY,COMMON THRESHER,147,46,114,51.8,34,100,.,.
FINAL,2018,NORTH NEW JERSEY,COMMON THRESHER,168,42.2,168,42.2,.,.,.,.
FINAL,2018,NEW YORK,COMMON THRESHER,562,17.5,384,18.8,177,37.7,.,.
FINAL,2018,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,234,41.3,231,41.9,3,100,.,.
FINAL,2018,MASSACHUSETTS,COMMON THRESHER,294,26.3,10,100,284,27,.,.
FINAL,2018,NEW HAMPSHIRE/MAINE,COMMON THRESHER,167,39.6,.,.,167,39.6,.,.
FINAL,2019,VIRGINIA,COMMON THRESHER,3,78.6,1,100,2,100,.,.
FINAL,2019,MARYLAND/DELAWARE,COMMON THRESHER,27,71.1,27,71.1,.,.,.,.
FINAL,2019,SOUTH NEW JERSEY,COMMON THRESHER,48,74.5,48,74.5,.,.,.,.
FINAL,2019,NORTH NEW JERSEY,COMMON THRESHER,156,43.8,156,43.8,.,.,.,.
FINAL,2019,NEW YORK,COMMON THRESHER,870,15.2,711,17,159,34.3,.,.
FINAL,2019,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,205,29,81,39.5,124,40.5,.,.
FINAL,2019,MASSACHUSETTS,COMMON THRESHER,434,29.6,87,73.6,347,32.1,.,.
FINAL,2019,NEW HAMPSHIRE/MAINE,COMMON THRESHER,212,50.7,.,.,212,50.7,.,.
FINAL,2020,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2020,MARYLAND/DELAWARE,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2020,SOUTH NEW JERSEY,COMMON THRESHER,106,100,.,.,106,100,.,.
FINAL,2020,NORTH NEW JERSEY,COMMON THRESHER,29,75.4,29,75.4,.,.,.,.
FINAL,2020,NEW YORK,COMMON THRESHER,509,32.2,486,33.6,23,70.8,.,.
FINAL,2020,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,79,47.7,79,47.7,.,.,.,.
FINAL,2020,MASSACHUSETTS,COMMON THRESHER,342,28.8,44,72,298,31.3,.,.
FINAL,2020,NEW HAMPSHIRE/MAINE,COMMON THRESHER,.,.,.,.,.,.,.,.
PRELIMINARY,2021,VIRGINIA,COMMON THRESHER,.,.,.,.,.,.,.,.
PRELIMINARY,2021,MARYLAND/DELAWARE,COMMON THRESHER,18,100,18,100,.,.,.,.
PRELIMINARY,2021,SOUTH NEW JERSEY,COMMON THRESHER,.,.,.,.,.,.,.,.
PRELIMINARY,2021,NORTH NEW JERSEY,COMMON THRESHER,128,60.2,52,100,76,74.9,.,.
PRELIMINARY,2021,NEW YORK,COMMON THRESHER,188,33.1,163,34.9,24,100,.,.
PRELIMINARY,2021,CONNECTICUT/RHODE ISLAND,COMMON THRESHER,38,100,38,100,.,.,.,.
PRELIMINARY,2021,MASSACHUSETTS,COMMON THRESHER,40,100,.,.,40,100,.,.
PRELIMINARY,2021,NEW HAMPSHIRE/MAINE,COMMON THRESHER,.,.,.,.,.,.,.,.
FINAL,2002,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2002,MARYLAND/DELAWARE,BLUE SHARK,116,41.5,9,100,107,44.2,.,.
FINAL,2002,SOUTH NEW JERSEY,BLUE SHARK,278,76.9,.,.,278,76.9,.,.
FINAL,2002,NORTH NEW JERSEY,BLUE SHARK,1306,48.6,.,.,1306,48.6,.,.
FINAL,2002,NEW YORK,BLUE SHARK,6287,20.3,544,30.8,5742,22.1,.,.
FINAL,2002,CONNECTICUT/RHODE ISLAND,BLUE SHARK,1179,31.9,27,100,1152,32.6,.,.
FINAL,2002,MASSACHUSETTS,BLUE SHARK,17954,44.2,761,52.2,17193,46.1,.,.
FINAL,2002,NEW HAMPSHIRE/MAINE,BLUE SHARK,694,32.7,.,.,694,32.7,.,.
FINAL,2003,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2003,MARYLAND/DELAWARE,BLUE SHARK,2157,30.8,72,43.8,2082,31.9,3,100
FINAL,2003,SOUTH NEW JERSEY,BLUE SHARK,6981,31.4,568,31.5,6413,34,.,.
FINAL,2003,NORTH NEW JERSEY,BLUE SHARK,1201,52.3,.,.,1201,52.3,.,.
FINAL,2003,NEW YORK,BLUE SHARK,21281,15.7,356,38.3,20925,16,.,.
