Estimate Status,Year,State/Area,Species,Total Catch (Kept+Alive+Dead),PSE,Harvest (Kept),PSE,Released Alive,PSE,Discarded Dead,PSE
FINAL,2002,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2002,MASSACHUSETTS,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2002,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2003,NEW YORK,PORBEAGLE SHARK,6,100,.,.,6,100,.,.
FINAL,2003,MASSACHUSETTS,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2003,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,109,59.2,.,.,109,59.2,.,.
FINAL,2004,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2004,MASSACHUSETTS,PORBEAGLE SHARK,45,100,45,100,.,.,.,.
FINAL,2004,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2005,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2005,MASSACHUSETTS,PORBEAGLE SHARK,107,93.9,100,100,7,100,.,.
FINAL,2005,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,89,55,.,.,89,55,.,.
FINAL,2006,NEW YORK,PORBEAGLE SHARK,5,100,.,.,5,100,.,.
FINAL,2006,MASSACHUSETTS,PORBEAGLE SHARK,116,100,116,100,.,.,.,.
FINAL,2006,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,4,102.2,.,.,4,102.2,.,.
FINAL,2007,NEW YORK,PORBEAGLE SHARK,8,100,.,.,8,100,.,.
FINAL,2007,MASSACHUSETTS,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2007,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,78,60.9,.,.,78,60.9,.,.
FINAL,2008,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2008,MASSACHUSETTS,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2008,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,41,71.2,.,.,41,71.2,.,.
FINAL,2009,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2009,MASSACHUSETTS,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2009,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,140,56.4,.,.,140,56.4,.,.
FINAL,2010,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2010,MASSACHUSETTS,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2010,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,488,32.1,11,100,477,32.7,.,.
FINAL,2011,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2011,MASSACHUSETTS,PORBEAGLE SHARK,18,100,18,100,.,.,.,.
FINAL,2011,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,1676,23.3,46,100,1630,23.8,.,.
FINAL,2012,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2012,MASSACHUSETTS,PORBEAGLE SHARK,48,82.8,9,100,39,100,.,.
FINAL,2012,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,678,36.9,30,100,648,38.4,.,.
FINAL,2013,NEW YORK,PORBEAGLE SHARK,44,100,44,100,.,.,.,.
FINAL,2013,MASSACHUSETTS,PORBEAGLE SHARK,157,51.4,66,86.1,91,62.9,.,.
FINAL,2013,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,748,37.9,155,68.8,593,44.4,.,.
FINAL,2014,NEW YORK,PORBEAGLE SHARK,17,100,17,100,.,.,.,.
FINAL,2014,MASSACHUSETTS,PORBEAGLE SHARK,15,100,15,100,.,.,.,.
