,Time,Value,Source,Unit
0,1993,0.8306079,MOM6,Cold Pool Index
1,1994,0.5985002,MOM6,Cold Pool Index
2,1995,-0.19432837,MOM6,Cold Pool Index
3,1996,0.29091543,MOM6,Cold Pool Index
4,1997,0.116831005,MOM6,Cold Pool Index
5,1998,0.1683459,MOM6,Cold Pool Index
6,1999,-0.17253797,MOM6,Cold Pool Index
7,2000,-0.2952114,MOM6,Cold Pool Index
8,2001,0.077633746,MOM6,Cold Pool Index
9,2002,-0.85816866,MOM6,Cold Pool Index
10,2003,0.27118832,MOM6,Cold Pool Index
11,2004,0.95179737,MOM6,Cold Pool Index
12,2005,0.5956874,MOM6,Cold Pool Index
13,2006,-0.5965886,MOM6,Cold Pool Index
14,2007,0.2156293,MOM6,Cold Pool Index
15,2008,-0.51717854,MOM6,Cold Pool Index
16,2009,0.29925263,MOM6,Cold Pool Index
17,2010,0.42522192,MOM6,Cold Pool Index
18,2011,0.1476747,MOM6,Cold Pool Index
19,2012,-1.4367753,MOM6,Cold Pool Index
20,2013,0.32034358,MOM6,Cold Pool Index
21,2014,0.6029937,MOM6,Cold Pool Index
22,2015,0.3192176,MOM6,Cold Pool Index
23,2016,-1.0645337,MOM6,Cold Pool Index
24,2017,-0.32453328,MOM6,Cold Pool Index
25,2018,-0.6247706,MOM6,Cold Pool Index
26,2019,-0.14721541,MOM6,Cold Pool Index
