"year","mean"
1854,11.8381572179496
1855,12.0901915580034
1856,10.8945695447425
1857,11.1747555794815
1858,11.4188318674763
1859,11.3384800280134
1860,11.4493440355246
1861,12.3385309490065
1862,11.6976616134246
1863,11.2136368875702
1864,11.9253953968485
1865,12.3921631941429
1866,12.7800949712594
1867,12.6582373778025
1868,12.6443710724513
1869,11.4734928756952
1870,11.5815712626164
1871,12.2561280205846
1872,12.5029769589504
1873,10.0805547237396
1874,11.41945019116
1875,10.6165453241422
1876,11.2419894635677
1877,10.9991627832254
1878,11.2256211129328
1879,11.033947981894
1880,11.4055078763228
1881,11.2539846015473
1882,11.2323889061809
1883,10.8826616108418
1884,11.559862203896
1885,11.0388646653065
1886,11.9847370261947
1887,11.7255570019285
1888,11.0259650051594
1889,11.5556491414706
1890,11.4327364632717
1891,10.9333871329824
1892,11.2135874554515
1893,10.5000578810771
1894,11.5768538986643
1895,11.240211140651
1896,11.6532696175079
1897,11.3444287988047
1898,11.415248349309
1899,11.5331492771705
1900,11.2020028829575
1901,11.0199321210384
1902,10.8997208649913
1903,11.163024370869
1904,10.8877704665065
1905,9.65215327189519
1906,11.546611705174
1907,10.1204523767034
1908,11.2893049779038
1909,11.1000372332831
1910,10.7222695946693
1911,11.507794311891
1912,11.4917827807367
1913,12.2642747213443
1914,11.5059794460734
1915,11.1077123433352
1916,10.6363320300976
1917,10.3711188410719
1918,10.5505533566078
1919,10.6403260690471
1920,10.4917320139133
1921,12.2018161217372
1922,11.4364584361513
1923,10.5004111453891
1924,10.8952028614779
1925,10.9497488278609
1926,10.8703314438462
1927,11.1275334109863
1928,11.5664813468854
1929,11.6173872450987
1930,11.5117352455854
1931,12.1649840250611
1932,11.935157644252
1933,11.9306293775638
1934,11.6585130592187
1935,11.094342309695
1936,11.4049206078053
1937,12.2438416530689
1938,12.0890175364912
1939,12.1094669302305
1940,10.8518990897215
1941,11.5981752338509
1942,12.2324338890612
1943,12.2472604947786
1944,12.5492748605708
1945,12.1801126484688
1946,12.2059477145473
1947,12.9803146322568
1948,12.0666075137754
1949,13.3974123001099
1950,12.052597797834
1951,13.1881398161252
1952,12.3562925706307
1953,12.5434650803606
1954,12.1652931049466
1955,11.6997968325248
1956,11.3919721295436
1957,12.3026058102647
1958,11.567683664461
1959,12.0736744192739
1960,11.5673176050186
1961,11.5330704152584
1962,11.5417389521996
1963,11.5622052351634
1964,10.9290529042482
1965,10.0525359075803
1966,10.7449162863195
1967,10.8388414171835
1968,11.582850638777
1969,11.7584078709284
1970,11.2553285750059
1971,11.7170834876597
1972,11.528936975946
1973,12.3463097338875
1974,12.4996241629124
1975,11.9355049202075
1976,11.999874971807
1977,11.5989177996914
1978,11.4983898624778
1979,11.8227541446686
1980,11.6872669206216
1981,11.6910606473684
1982,11.9626358374953
1983,12.5371384347479
1984,12.3443562562267
1985,12.1540811084784
1986,12.2504033471147
1987,11.8134895314773
1988,11.3976424957315
1989,12.0164659892519
1990,11.6783131108834
1991,12.3371032973131
1992,11.3478230237961
1993,11.6606300721566
1994,11.883661073943
1995,11.6891233485479
1996,10.966922176381
1997,11.5227103456855
1998,12.1519508386652
1999,12.8458051954707
2000,12.2307259119474
2001,12.3246220002572
2002,12.7235137671232
2003,11.4714783442517
2004,11.7677947469056
2005,11.7264173363264
2006,12.7253350615501
2007,12.2746951008836
2008,12.3566996802886
2009,12.3320181493958
2010,12.4739916897737
2011,12.7641835759083
2012,13.8863735198975
2013,12.9218659574787
2014,12.8665074259043
2015,12.7472365681942
2016,13.862646450599
2017,13.2985341250896
2018,12.8574702764551
2019,12.6904668956995
2020,12.9310780740701
2021,13.8649947543939
2022,13.4344294766585
2023,13.2543210188548
2024,13.4951592892408
