Month,GSI
1993.01,-0.575670562
1993.02,-1.155492387
1993.03,-1.00353071
1993.04,-0.106988799
1993.05,-0.319035905
1993.06,0.303616376
1993.07,1.245289149
1993.08,0.851043703
1993.09,1.246800918
1993.10,1.425214056
1993.11,0.909138273
1993.12,0.849538356
1994.01,0.956781471
1994.02,0.825504184
1994.03,0.273818986
1994.04,0.702985396
1994.05,-0.107491009
1994.06,0.593086088
1994.07,0.977563478
1994.08,0.664121246
1994.09,0.696922907
1994.10,0.539742609
1994.11,0.960567958
1994.12,0.90176567
1995.01,0.436797182
1995.02,0.298792073
1995.03,2.03252002
1995.04,1.807873983
1995.05,1.357336016
1995.06,1.6404414
1995.07,1.889356658
1995.08,1.80053349
1995.09,1.827127522
1995.10,2.215039466
1995.11,1.664318871
1995.12,0.690116736
1996.01,0.737294972
1996.02,1.634854148
1996.03,1.084174655
1996.04,-0.062252255
1996.05,-0.039380489
1996.06,-0.059720653
1996.07,0.198939543
1996.08,-0.978646248
1996.09,-0.757708348
1996.10,-0.979565897
1996.11,-2.176053296
1996.12,-1.56658179
1997.01,-0.564503765
1997.02,-0.964547109
1997.03,-0.695576829
1997.04,-0.767182271
1997.05,-1.216991969
1997.06,-1.171718535
1997.07,-0.883164618
1997.08,0.377807367
1997.09,-0.580530828
1997.10,-0.931222686
1997.11,-0.617106131
1997.12,-0.68065951
1998.01,-0.582363703
1998.02,-0.833354594
1998.03,-1.530173462
1998.04,-1.747016613
1998.05,-0.854313851
1998.06,-0.426907105
1998.07,-0.435105593
1998.08,-0.710885897
1998.09,-0.547966786
1998.10,-1.445380822
1998.11,-1.500184693
1998.12,-0.650973865
1999.01,-0.678460573
1999.02,-0.542705779
1999.03,-0.471755393
1999.04,-0.953168382
1999.05,-1.025734575
1999.06,-0.895149594
1999.07,-0.178928192
1999.08,-0.427068942
1999.09,1.068756411
1999.10,0.147968398
1999.11,0.018326184
1999.12,-0.640327262
2000.01,0.882914155
2000.02,0.675064552
2000.03,0.301423861
2000.04,1.4836901
2000.05,0.913577248
2000.06,0.745120977
2000.07,0.891384942
2000.08,1.331285296
2000.09,1.943199779
2000.10,2.347861917
2000.11,1.629396624
2000.12,0.612504034
2001.01,0.541563924
2001.02,0.771334819
2001.03,-0.015858803
2001.04,0.173707002
2001.05,-0.401469056
2001.06,-0.53489904
2001.07,-0.552946504
2001.08,-1.052860359
2001.09,-1.4370449
2001.10,-1.548482949
2001.11,0.245372813
2001.12,-0.153045732
2002.01,-0.635284607
2002.02,0.212058666
2002.03,0.585934407
2002.04,-0.108861491
2002.05,-0.355553409
2002.06,0.549598006
2002.07,0.841515834
2002.08,0.021267519
2002.09,-0.186190335
2002.10,0.455922279
2002.11,0.641100486
2002.12,0.287869318
2003.01,-0.1682559
2003.02,-0.272483184
2003.03,-0.684999584
2003.04,-1.430878372
2003.05,-1.147945102
2003.06,-0.683743416
2003.07,-0.946038536
2003.08,-0.51924703
2003.09,-0.760760143
2003.10,-0.484828277
2003.11,-0.67172633
2003.12,-1.871934709
2004.01,-1.751548067
2004.02,-1.548237624
2004.03,-0.917525572
2004.04,-0.79180471
2004.05,-1.100815673
2004.06,-1.653104551
2004.07,-1.46571071
2004.08,-1.796180572
2004.09,-0.198952387
2004.10,-0.159187855
2004.11,-0.358015653
2004.12,0.545641976
2005.01,0.390673458
2005.02,-0.92900063
2005.03,-0.806759277
2005.04,-0.686968608
2005.05,-1.216333058
2005.06,-0.788544838
2005.07,-0.222763069
2005.08,-0.754478018
2005.09,-1.729809164
2005.10,-0.828848829
2005.11,-1.194519658
2005.12,-0.16677881
2006.01,-0.473643499
2006.02,-0.114968935
2006.03,-0.997808594
2006.04,-1.080858269
2006.05,0.117197414
2006.06,-0.959167934
2006.07,-0.501759575
2006.08,0.748392409
2006.09,0.803978496
2006.10,0.709429359
2006.11,0.686773376
2006.12,-0.013356742
2007.01,-0.144708525
2007.02,-1.089115841
2007.03,-0.743573244
2007.04,0.011233586
2007.05,0.336649233
2007.06,-1.023220954
2007.07,-0.510880281
2007.08,-0.50010395
2007.09,-0.740646039
2007.10,-1.395130239
2007.11,-1.315863198
2007.12,-1.762971748
2008.01,-0.699684422
2008.02,0.314155088
2008.03,0.213199236
2008.04,-0.099636747
2008.05,-0.435663034
2008.06,0.517380759
2008.07,-0.46666393
2008.08,-0.50353722
2008.09,-0.461302738
2008.10,-1.413995882
2008.11,-1.004753483
2008.12,0.173184241
2009.01,-0.361594063
2009.02,0.384450416
2009.03,0.229602635
2009.04,-0.091695143
2009.05,0.157356264
2009.06,-0.235961826
2009.07,-1.081184513
2009.08,0.859124024
2009.09,-0.246740726
2009.10,-0.012597646
2009.11,0.512855728
2009.12,0.391040804
2010.01,0.136438109
2010.02,-1.261854386
2010.03,-0.46513161
2010.04,0.28766381
2010.05,-0.497878041
2010.06,0.418440171
2010.07,0.020895036
2010.08,0.244984916
2010.09,0.050601231
2010.10,-1.059606163
2010.11,-1.925563331
2010.12,-1.743031041
2011.01,-1.429722389
2011.02,-1.466498063
2011.03,-0.767952927
2011.04,-1.141061865
2011.05,-1.324394353
2011.06,-0.731011562
2011.07,-1.341904927
2011.08,-2.115509326
2011.09,-1.56854953
2011.10,-0.969439486
2011.11,-0.379655656
2011.12,0.107882759
2012.01,0.133247596
2012.02,0.700935452
2012.03,0.96255368
2012.04,1.810301547
2012.05,1.379947044
2012.06,0.721296167
2012.07,-0.552877145
2012.08,-0.258353218
2012.09,-0.063667692
2012.10,-0.631279768
2012.11,-0.128402743
2012.12,-0.944466399
2013.01,-1.307615901
2013.02,-1.504333388
2013.03,-1.336696581
2013.04,-1.042121277
2013.05,-0.417803096
2013.06,-0.985281591
2013.07,-0.890620709
2013.08,-0.062864926
2013.09,-0.201102516
2013.10,-0.799128505
2013.11,0.40368469
2013.12,0.713837507
2014.01,0.759108372
2014.02,0.27652784
2014.03,0.189894618
2014.04,-0.860504782
2014.05,-0.25259
2014.06,-0.201108938
2014.07,0.692220625
2014.08,0.326793836
2014.09,-1.034138572
2014.10,-0.540003347
2014.11,-0.540291059
2014.12,1.05099152
2015.01,0.663982528
2015.02,0.282978225
2015.03,0.165098782
2015.04,-0.357894917
2015.05,0.823965443
2015.06,0.894069392
2015.07,1.102340287
2015.08,0.857840883
2015.09,0.870979273
2015.10,0.31956252
2015.11,-0.05495158
2015.12,-0.112193291
2016.01,1.080101742
2016.02,1.959558224
2016.03,0.918788162
2016.04,0.958018373
2016.05,1.254650043
2016.06,0.797972522
2016.07,1.118258173
2016.08,-0.293587581
2016.09,-0.152516549
2016.10,-0.785568824
2016.11,-0.422588866
2016.12,1.165711277
2017.01,1.14089489
2017.02,1.224595768
2017.03,1.184502423
2017.04,0.629256797
2017.05,-0.147094988
2017.06,-1.036954033
2017.07,-0.670787415
2017.08,-0.027595884
2017.09,0.013632893
2017.10,0.720838911
2017.11,0.364496865
2017.12,0.863826307
2018.01,0.776656195
2018.02,1.428615214
2018.03,0.200957376
2018.04,0.728717578
2018.05,1.76801055
2018.06,2.563019902
2018.07,0.792270957
2018.08,0.478759366
2018.09,1.578510251
2018.10,2.564261941
2018.11,2.286850416
2018.12,1.601597801
2019.01,0.736601382
2019.02,0.693167246
2019.03,2.094873745
2019.04,2.735446332
2019.05,2.751798354
2019.06,1.64245281
2019.07,0.931301036
2019.08,1.438965116
2019.09,0.567117572
2019.10,2.53842572
2019.11,1.966793393
2019.12,0.350812594
