Date,2021 Daily,2010-2020 avg, 2010-2020 min, 2010-2020 max
01/01/2021 00:00:00,42.01,44.64,38.25,51.22
01/02/2021 00:00:00,42.34,44.20,36.46,50.43
01/03/2021 00:00:00,41.88,43.95,35.13,49.26
01/04/2021 00:00:00,41.54,43.45,36.01,49.19
01/05/2021 00:00:00,41.36,42.54,34.72,48.51
01/06/2021 00:00:00,41.38,42.38,33.76,47.43
01/07/2021 00:00:00,41.62,42.47,32.59,47.34
01/08/2021 00:00:00,40.87,41.88,31.84,46.09
01/09/2021 00:00:00,41.26,41.70,32.23,46.71
01/10/2021 00:00:00,40.80,41.75,31.32,47.30
01/11/2021 00:00:00,40.34,40.65,31.37,47.16
01/12/2021 00:00:00,nan,39.31,33.64,46.17
01/13/2021 00:00:00,40.82,39.00,33.91,45.95
01/14/2021 00:00:00,40.75,38.29,33.53,44.19
01/15/2021 00:00:00,40.65,37.73,32.41,44.96
01/16/2021 00:00:00,41.49,37.58,32.32,44.98
01/17/2021 00:00:00,41.08,37.48,32.95,45.07
01/18/2021 00:00:00,41.04,37.99,32.25,42.94
01/19/2021 00:00:00,41.05,37.94,31.66,42.80
01/20/2021 00:00:00,41.27,37.75,31.78,43.11
01/21/2021 00:00:00,41.08,37.65,31.59,43.02
01/22/2021 00:00:00,41.45,37.35,33.26,42.84
01/23/2021 00:00:00,41.33,36.77,32.77,41.45
01/24/2021 00:00:00,40.76,36.01,32.61,40.62
01/25/2021 00:00:00,40.39,34.25,32.56,39.65
01/26/2021 00:00:00,40.28,34.83,32.74,41.61
01/27/2021 00:00:00,40.26,35.08,32.76,41.31
01/28/2021 00:00:00,40.38,35.03,31.73,41.09
01/29/2021 00:00:00,39.57,35.11,31.82,40.80
01/30/2021 00:00:00,38.61,35.28,32.02,40.62
01/31/2021 00:00:00,38.22,35.32,32.09,40.91
02/01/2021 00:00:00,38.49,35.09,32.00,40.23
02/02/2021 00:00:00,38.45,35.56,32.83,40.93
02/03/2021 00:00:00,37.97,35.62,33.28,40.53
02/04/2021 00:00:00,37.94,35.46,32.95,40.30
02/05/2021 00:00:00,38.21,35.49,33.55,40.46
02/06/2021 00:00:00,38.35,35.81,33.60,41.83
02/07/2021 00:00:00,38.43,35.91,33.17,41.14
02/08/2021 00:00:00,38.20,36.07,33.30,42.98
02/09/2021 00:00:00,38.15,35.86,33.01,42.71
02/10/2021 00:00:00,38.35,35.70,33.35,40.68
02/11/2021 00:00:00,38.28,35.60,33.06,40.86
02/12/2021 00:00:00,38.02,35.95,32.65,41.09
02/13/2021 00:00:00,37.62,35.94,32.59,40.68
02/14/2021 00:00:00,37.29,36.14,32.43,40.44
02/15/2021 00:00:00,37.31,36.35,30.52,40.89
02/16/2021 00:00:00,37.66,36.88,32.61,40.60
02/17/2021 00:00:00,37.38,37.06,33.12,40.55
02/18/2021 00:00:00,nan,37.44,32.79,40.44
02/19/2021 00:00:00,nan,37.72,33.51,45.19
02/20/2021 00:00:00,36.74,38.78,33.66,45.07
02/21/2021 00:00:00,36.33,39.80,35.08,44.46
02/22/2021 00:00:00,36.32,39.63,33.73,44.02
02/23/2021 00:00:00,36.34,39.88,36.12,45.72
02/24/2021 00:00:00,36.87,40.30,36.54,44.85
02/25/2021 00:00:00,37.69,40.39,36.07,46.04
02/26/2021 00:00:00,38.14,40.95,35.87,45.10
