sp_code,COMMON_NAME,SCIENTIFIC_NAME,NODC_ORDER,FAMILY,COMMON_FAMILY,GROUP_CODE,GROUP_NAME,SUPERGROUP_CODE,SUPERGROUP_NAME
1000000000,UNIDENTIFIED FISH,,,,,,OTHER FISHES,Y,OTHER FISHES
1000000001,UNIDENTIFIED BOTTOM FISH,,,,,,OTHER FISHES,Y,OTHER FISHES
1000000002,UNIDENTIFIED SHARKS,,,,,003,OTHER SHARKS,A,SHARKS
1000000003,UNIDENTIFIED SURFACE FISH,,,,,,OTHER FISHES,Y,OTHER FISHES
8708020000,REQUIEM SHARK FAMILY,CARCHARHINIDAE,,,,001,REQUIEM SHARKS,A,SHARKS
8708020503,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,,,,001,REQUIEM SHARKS,A,SHARKS
8708020515,GALAPAGOS SHARK,CARCHARHINUS GALAPAGENSIS,,,,001,REQUIEM SHARKS,A,SHARKS
8708020518,GRAY REEF SHARK,CARCHARHINUS AMBLYRHYNCHOS,,,,001,REQUIEM SHARKS,A,SHARKS
8708020520,BLACK-TIPPED REEF SHARK,CARCHARHINUS MELANOPTERUS,,,,001,REQUIEM SHARKS,A,SHARKS
8708021101,WHITE TIP REEF SHARK,TRIAENODON OBESUS,,,,003,OTHER SHARKS,A,SHARKS
8708030103,SCALLOPED HAMMERHEAD SHARK,SPHYRNA LEWINI,,,,002,HAMMERHEAD SHARKS,A,SHARKS
8713050000,STINGRAY FAMILY,DASYATIDAE,,,,005,STINGRAYS,B,SKATES/RAYS
8713070000,EAGLE RAY FAMILY,MYLIOBATIDAE,,,,,OTHER SKATES/RAYS,B,SKATES/RAYS
8713080000,MANTA FAMILY,MOBULIDAE,,,,007,MANTA RAYS,B,SKATES/RAYS
8738010103,HAWAIIAN TENPOUNDER,ELOPS HAWAIENSIS,,,,008,HAWAIIAN TENPOUNDER,C,TARPON FAMILY
8739010103,SMALLMOUTH BONEFISH,ALBULA GLOSSODONTA,,,,009,SMALLMOUTH BONEFISH,D,BONEFISHES
8741050000,MORAY FAMILY,MURAENIDAE,,,,010,MORAY EELS,E,EELS
8741050202,ZEBRA MORAY EEL,GYMNOMURAENA ZEBRA,,,,010,MORAY EELS,E,EELS
8741050204,SNOWFLAKE MORAY EEL,ECHIDNA NEBULOSA,,,,010,MORAY EELS,E,EELS
8741050205,BARRED MORAY,ECHIDNA POLYZONA,,,,010,MORAY EELS,E,EELS
8741050410,YELLOWMARGIN MORAY EEL,GYMNOTHORAX FLAVIMARGINATUS,,,,010,MORAY EELS,E,EELS
8741050412,STOUT MORAY EEL,GYMNOTHORAX EUROSTUS,,,,010,MORAY EELS,E,EELS
8741050413,STEINDACHNERS MORAY EEL,GYMNOTHORAX STEINDACHNERI,,,,010,MORAY EELS,E,EELS
8741050423,WHITEMOUTH MORAY EEL,GYMNOTHORAX MELEAGRIS,,,,010,MORAY EELS,E,EELS
8741050427,UNDULATED MORAY EEL,GYMNOTHORAX UNDULATUS,,,,010,MORAY EELS,E,EELS
8741050434,YELLOWHEAD MORAY EEL,GYMNOTHORAX RUEPPELLIAE,,,,010,MORAY EELS,E,EELS
