sp_code,COMMON_NAME,SCIENTIFIC_NAME,NODC_ORDER,FAMILY,COMMON_FAMILY,GROUP_CODE,GROUP_NAME,SUPERGROUP_CODE,SUPERGROUP_NAME
8842121901,STONE COCKSCOMB,ALECTRIAS ALECTROLOPHUS,Perciformes,Stichaeidae,pricklebacks,,OTHER FISHES,25,OTHER FISHES
8842122001,WRYMOUTH,CRYPTACANTHODES MACULATUS,Perciformes,Cryptacanthodidae,wrymouths,,OTHER FISHES,25,OTHER FISHES
8842122101,RADIATED SHANNY,ULVARIA SUBBIFURCATA,Perciformes,Stichaeidae,pricklebacks,,OTHER FISHES,25,OTHER FISHES
8842122201,MONKEYFACE PRICKLEBACK,CEBIDICHTHYS VIOLACEUS,Perciformes,Stichaeidae,pricklebacks,,OTHER FISHES,25,OTHER FISHES
8842130000,GUNNEL FAMILY,Pholidae,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130101,PENPOINT GUNNEL,APODICHTHYS FLAVIDUS,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130201,LONGFIN GUNNEL,PHOLIS CLEMENSI,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130202,STIPPLED GUNNEL,PHOLIS DOLICHOGASTER,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130203,BANDED GUNNEL,PHOLIS FASCIATA,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130204,BERING GUNNEL,PHOLIS GILLI,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130205,CRESCENT GUNNEL,PHOLIS LAETA,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130206,SADDLEBACK GUNNEL,PHOLIS ORNATA,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130208,RED GUNNEL,PHOLIS SCHULTZI,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130301,ROCKWEED GUNNEL,XERPES FUCORUM,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842130401,KELP GUNNEL,ULVICOLA SANTAEROSEA,Perciformes,Pholidae,gunnels,,OTHER FISHES,25,OTHER FISHES
8842140101,GRAVELDIVER,SCYTALINA CERDALE,Perciformes,Scytalinidae,graveldivers,,OTHER FISHES,25,OTHER FISHES
8842150101,PROWFISH,ZAPRORA SILENUS,Perciformes,Zaproridae,prowfishes,,OTHER FISHES,25,OTHER FISHES
8843010101,RAGFISH,ICOSTEUS AENAGMATICUS,Perciformes,Icosteidae,ragfishes,,OTHER FISHES,25,OTHER FISHES
8845010100,SAND LANCE GENUS,AMMODYTES SPP.,Perciformes,Ammodytidae,sand lances,,OTHER FISHES,25,OTHER FISHES
8845010101,PACIFIC SAND LANCE,AMMODYTES HEXAPTERUS,Perciformes,Ammodytidae,sand lances,,OTHER FISHES,25,OTHER FISHES
8845010102,AMERICAN SAND LANCE,AMMODYTES AMERICANUS,Perciformes,Ammodytidae,sand lances,,OTHER FISHES,25,OTHER FISHES
8845010103,NORTHERN SAND LANCE,AMMODYTES DUBIUS,Perciformes,Ammodytidae,sand lances,,OTHER FISHES,25,OTHER FISHES
8846010000,DRAGONET FAMILY,CALLIONYMIDAE,Perciformes,Callionymidae,dragonets,,OTHER FISHES,25,OTHER FISHES
8846010101,SPOTFIN DRAGONET,FOETOREPUS AGASSIZI,Perciformes,Callionymidae,dragonets,,OTHER FISHES,25,OTHER FISHES
8846010102,LANCER DRAGONET,PARADIPLOGRAMMUS BAIRDI,Perciformes,Callionymidae,dragonets,,OTHER FISHES,25,OTHER FISHES
8846010103,SPOTTED DRAGONET,DIPLOGRAMMUS PAUCIRADIATUS,Perciformes,Callionymidae,dragonets,,OTHER FISHES,25,OTHER FISHES
8847010000,GOBY FAMILY,GOBIIDAE,Perciformes,Gobiidae,gobies,,OTHER FISHES,25,OTHER FISHES
8847010101,ARROW GOBY,CLEVELANDIA IOS,Perciformes,Gobiidae,gobies,,OTHER FISHES,25,OTHER FISHES
8847010201,BLACKEYE GOBY,CORYPHOPTERUS NICHOLSI,Perciformes,Gobiidae,gobies,,OTHER FISHES,25,OTHER FISHES
8847010202,BARFIN GOBY,CORYPHOPTERUS ALLOIDES,Perciformes,Gobiidae,gobies,,OTHER FISHES,25,OTHER FISHES
8847010203,COLON GOBY,CORYPHOPTERUS DICRUS,Perciformes,Gobiidae,gobies,,OTHER FISHES,25,OTHER FISHES
8847010204,PALLID GOBY,CORYPHOPTERUS EIDOLON,Perciformes,Gobiidae,gobies,,OTHER FISHES,25,OTHER FISHES
8847010205,BRIDLED GOBY,CORYPHOPTERUS GLAUCOFRAENUM,Perciformes,Gobiidae,gobies,,OTHER FISHES,25,OTHER FISHES
